,function_name,LEANMLIR_opt_similarity
0,7_function_34,"[['sra', 't0,', 'a1,', 'a2'], ['or', 't0,', 'a0,', 't0'], ['rem', 't0,', 't0,', 't0'], ['sra', 'a2,', 'a1,', 'a2'], ['snez', 't0,', 't0'], ['sub', 'a2,', 'a2,', 'a0'], ['mul', 'a2,', 'a2,', 't0'], ['add', 'a2,', 'a2,', 'a0'], ['rem', 'a2,', 'a2,', 'a1'], ['mv', 'a0,', 'a2'], ['ret']]"
1,6_function_26,"[['andi', 'a0,', 'a0,', '1'], ['div', 't0,', 'a0,', 'a0'], ['and', 't1,', 't0,', 'a0'], ['xor', 't0,', 't0,', 't1'], ['remu', 'a0,', 'a0,', 't0'], ['ret']]"
2,5_function_94,"[['sltu', 't0,', 'a0,', 'a0'], ['xori', 't0,', 't0,', '1'], ['slli', 't0,', 't0,', '63'], ['srai', 't0,', 't0,', '63'], ['snez', 'a1,', 'a1'], ['sub', 'a2,', 'a2,', 'a0'], ['mul', 'a2,', 'a2,', 'a1'], ['add', 'a2,', 'a2,', 'a0'], ['sra', 't0,', 't0,', 'a2'], ['mv', 'a0,', 't0'], ['ret']]"
3,8_function_65,"[['andi', 't0,', 'a0,', '1'], ['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['rem', 'a0,', 'a0,', 'a0'], ['rem', 'a0,', 't0,', 'a0'], ['remu', 'a1,', 'a1,', 'a0'], ['divu', 'a1,', 't0,', 'a1'], ['xor', 't0,', 't0,', 'a1'], ['mv', 'a0,', 't0'], ['ret']]"
4,6_function_93,"[['divu', 'a0,', 'a0,', 'a1'], ['zext.w', 'a2,', 'a2'], ['srl', 'a0,', 'a0,', 'a2'], ['sext.w', 'a0,', 'a0'], ['ret']]"
5,8_function_77,"[['rem', 'a0,', 'a1,', 'a0'], ['sra', 'a1,', 'a1,', 'a0'], ['div', 'a1,', 'a1,', 'a2'], ['xor', 'a2,', 'a2,', 'a1'], ['or', 'a2,', 'a2,', 'a1'], ['mv', 'a0,', 'a2'], ['ret']]"
6,6_function_95,"[['zext.w', 't0,', 'a2'], ['divu', 'a1,', 'a1,', 't0'], ['div', 'a1,', 'a1,', 'a2'], ['and', 'a0,', 'a0,', 'a1'], ['ret']]"
7,3_function_52,"[['zext.w', 'a0,', 'a0'], ['rem', 'a0,', 'a0,', 'a1'], ['ret']]"
8,7_function_46,"[['and', 'a0,', 'a0,', 'a1'], ['slli', 'a1,', 'a0,', '63'], ['srai', 'a1,', 'a1,', '63'], ['snez', 't0,', 'a0'], ['sub', 't1,', 'a2,', 'a0'], ['mul', 't1,', 't1,', 't0'], ['add', 't1,', 't1,', 'a0'], ['xor', 'a2,', 'a2,', 't1'], ['divu', 'a1,', 'a1,', 'a2'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
9,6_function_44,"[['sra', 'a1,', 'a1,', 'a2'], ['div', 'a0,', 'a0,', 'a1'], ['sext.w', 'a0,', 'a0'], ['rem', 'a0,', 'a0,', 'a0'], ['ret']]"
10,7_function_61,"[['or', 'a1,', 'a1,', 'a2'], ['divu', 'a0,', 'a0,', 'a1'], ['sext.w', 'a0,', 'a0'], ['nop'], ['and', 'a0,', 'a0,', 'zero'], ['ret']]"
11,8_function_69,"[['snez', 'a1,', 'a1'], ['sub', 't0,', 'a0,', 'a2'], ['mul', 't0,', 't0,', 'a1'], ['add', 't0,', 't0,', 'a2'], ['rem', 't0,', 'a0,', 't0'], ['xor', 'a0,', 'a0,', 't0'], ['andi', 'a0,', 'a0,', '1'], ['ret']]"
12,4_function_24,"[['remu', 'a1,', 'a0,', 'a1'], ['sext.w', 'a1,', 'a1'], ['or', 'a1,', 'a1,', 'a0'], ['mv', 'a0,', 'a1'], ['ret']]"
