,function_name,LEANMLIR_opt_tot_instructions
0,7_function_34,11
1,6_function_26,6
2,5_function_94,11
3,8_function_65,10
4,6_function_93,5
5,8_function_77,7
6,6_function_95,5
7,3_function_52,3
8,7_function_46,11
9,6_function_44,5
10,7_function_61,6
11,8_function_69,8
12,4_function_24,5
13,8_function_44,11
14,8_function_12,14
15,3_function_81,3
16,6_function_56,6
17,8_function_96,14
18,5_function_0,7
19,8_function_53,8
20,3_function_46,2
21,5_function_23,4
22,7_function_57,6
23,7_function_84,8
24,4_function_3,4
25,4_function_34,4
26,5_function_61,9
27,8_function_97,6
28,3_function_19,3
29,8_function_67,12
30,7_function_23,6
31,4_function_28,7
32,7_function_24,13
33,4_function_74,3
34,7_function_50,9
35,3_function_95,5
36,5_function_64,10
37,3_function_43,5
38,5_function_21,7
39,8_function_37,7
40,4_function_76,4
41,6_function_97,7
42,5_function_12,10
43,7_function_51,7
44,7_function_95,10
45,5_function_38,9
46,5_function_26,9
47,7_function_10,5
48,7_function_65,7
49,8_function_46,9
50,6_function_46,6
51,3_function_67,7
52,8_function_4,19
53,4_function_69,5
54,8_function_90,10
55,5_function_98,8
56,3_function_61,7
57,5_function_50,5
58,6_function_41,8
59,5_function_57,4
60,5_function_69,8
61,6_function_77,7
62,4_function_98,2
63,6_function_24,13
64,6_function_22,6
65,8_function_57,10
66,4_function_43,7
67,4_function_16,4
68,8_function_14,10
69,3_function_94,3
70,4_function_64,10
71,7_function_8,7
72,7_function_33,8
73,4_function_68,4
74,3_function_51,3
75,6_function_74,6
76,5_function_90,6
77,4_function_93,4
78,4_function_33,4
79,8_function_59,11
80,7_function_69,9
81,3_function_9,4
82,4_function_13,5
83,5_function_34,8
84,6_function_75,4
85,4_function_90,4
86,3_function_55,9
87,6_function_45,6
88,3_function_48,3
89,5_function_37,7
90,5_function_88,3
91,8_function_55,7
92,6_function_78,6
93,8_function_21,9
94,4_function_63,4
95,3_function_56,3
96,5_function_54,5
97,3_function_30,3
98,3_function_53,5
99,7_function_11,7
100,4_function_38,2
101,7_function_75,10
102,4_function_75,4
103,6_function_65,7
104,5_function_1,4
105,4_function_72,5
106,8_function_39,5
107,3_function_38,4
108,6_function_10,5
109,5_function_19,7
110,6_function_4,6
111,5_function_76,11
112,5_function_32,6
113,7_function_47,7
114,4_function_15,5
115,4_function_61,4
116,5_function_22,8
117,7_function_40,6
118,7_function_77,8
119,4_function_84,4
120,3_function_69,4
121,3_function_82,3
122,4_function_73,8
123,5_function_15,5
124,7_function_12,8
125,8_function_0,12
126,5_function_48,8
127,4_function_0,3
128,5_function_70,6
129,5_function_68,5
130,6_function_15,6
131,6_function_91,10
132,6_function_13,5
133,6_function_63,9
134,3_function_26,3
135,7_function_36,11
