,function_name,LLVM_globalisel_similarity
0,3_function_32,[['ret']]
1,4_function_18,"[['srl', 'a1,', 'a1,', 'a2'], ['rem', 'a0,', 'a0,', 'a1'], ['ret']]"
2,8_function_40,"[['div', 'a1,', 'a0,', 'a0'], ['rem', 'a2,', 'a1,', 'zero'], ['divu', 'a2,', 'a0,', 'a2'], ['or', 'a0,', 'a2,', 'a0'], ['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['sltu', 'a0,', 'a0,', 'a1'], ['ret']]"
3,3_function_33,"[['mv', 'a3,', 'a0'], ['mv', 'a0,', 'a1'], ['andi', 'a3,', 'a3,', '1'], ['bnez', 'a3,', '.LBB0_2'], ['slli', 'a0,', 'a2,', '63'], ['srai', 'a0,', 'a0,', '63'], ['ret']]"
4,4_function_20,"[['sra', 'a1,', 'a0,', 'a0'], ['remu', 'a0,', 'a0,', 'a1'], ['and', 'a0,', 'a1,', 'a0'], ['ret']]"
5,7_function_87,"[['sext.w', 'a0,', 'a0'], ['slli', 'a3,', 'a1,', '63'], ['srai', 'a3,', 'a3,', '63'], ['sltu', 'a0,', 'a0,', 'a3'], ['xori', 'a0,', 'a0,', '1'], ['sra', 'a0,', 'a0,', 'a2'], ['xor', 'a0,', 'a0,', 'a1'], ['ret']]"
6,7_function_32,"[['rem', 'a1,', 'a1,', 'a0'], ['xor', 'a1,', 'a1,', 'a2'], ['sext.w', 'a1,', 'a1'], ['xor', 'a0,', 'a0,', 'a1'], ['snez', 'a0,', 'a0'], ['ret']]"
7,4_function_24,"[['remu', 'a1,', 'a0,', 'a1'], ['sext.w', 'a1,', 'a1'], ['or', 'a0,', 'a1,', 'a0'], ['ret']]"
8,7_function_26,"[['and', 'a2,', 'a1,', 'a0'], ['rem', 'a2,', 'a1,', 'a2'], ['srl', 'a1,', 'a1,', 'a1'], ['div', 'a1,', 'a1,', 'a2'], ['sra', 'a0,', 'a0,', 'a1'], ['ret']]"
9,7_function_12,"[['andi', 'a2,', 'a0,', '1'], ['mv', 'a0,', 'a1'], ['bnez', 'a2,', '.LBB0_2'], ['remu', 'a0,', 'a0,', 'a0'], ['ret']]"
10,6_function_8,"[['divu', 'a0,', 'a1,', 'a2'], ['div', 'a0,', 'a1,', 'a0'], ['remu', 'a2,', 'a2,', 'a0'], ['srl', 'a1,', 'a1,', 'a2'], ['divu', 'a0,', 'a1,', 'a0'], ['ret']]"
11,4_function_60,"[['slli', 'a2,', 'a2,', '63'], ['srai', 'a2,', 'a2,', '63'], ['remu', 'a0,', 'a1,', 'a2'], ['ret']]"
12,3_function_15,[['ret']]
13,7_function_46,"[['and', 'a0,', 'a0,', 'a1'], ['slli', 'a1,', 'a0,', '63'], ['andi', 'a4,', 'a0,', '1'], ['srai', 'a1,', 'a1,', '63'], ['mv', 'a3,', 'a2'], ['bnez', 'a4,', '.LBB0_2'], ['mv', 'a3,', 'a0'], ['xor', 'a2,', 'a2,', 'a3'], ['divu', 'a1,', 'a1,', 'a2'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
14,3_function_22,[['ret']]
15,7_function_11,"[['andi', 'a2,', 'a0,', '1'], ['divu', 'a0,', 'a0,', 'a2'], ['remu', 'a1,', 'a2,', 'a1'], ['remu', 'a0,', 'a0,', 'a1'], ['div', 'a0,', 'a2,', 'a0'], ['ret']]"
16,6_function_55,"[['andi', 'a3,', 'a1,', '1'], ['mv', 'a1,', 'a0'], ['bnez', 'a3,', '.LBB0_2'], ['mv', 'a1,', 'a2'], ['zext.w', 'a1,', 'a1'], ['remu', 'a1,', 'a0,', 'a1'], ['rem', 'a0,', 'a2,', 'a0'], ['sra', 'a0,', 'a1,', 'a0'], ['ret']]"
17,8_function_55,"[['sra', 'a3,', 'a0,', 'a1'], ['srl', 'a0,', 'a0,', 'a3'], ['and', 'a2,', 'a2,', 'a0'], ['remu', 'a0,', 'a0,', 'a2'], ['andi', 'a1,', 'a1,', '1'], ['div', 'a0,', 'a0,', 'a1'], ['ret']]"
18,4_function_40,"[['div', 'a0,', 'a0,', 'a0'], ['andi', 'a1,', 'a1,', '1'], ['bnez', 'a1,', '.LBB0_2'], ['mv', 'a2,', 'a0'], ['xor', 'a0,', 'a0,', 'a2'], ['snez', 'a0,', 'a0'], ['ret']]"
19,6_function_21,"[['rem', 'a1,', 'a0,', 'a0'], ['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['sra', 'a1,', 'a0,', 'a1'], ['rem', 'a0,', 'a0,', 'a1'], ['ret']]"
20,3_function_13,"[['rem', 'a1,', 'a1,', 'a2'], ['andi', 'a0,', 'a0,', '1'], ['xor', 'a0,', 'a0,', 'a1'], ['seqz', 'a0,', 'a0'], ['ret']]"
21,7_function_81,"[['andi', 'a1,', 'a1,', '1'], ['bnez', 'a1,', '.LBB0_2'], ['or', 'a0,', 'a0,', 'a0'], ['ret'], ['remu', 'a1,', 'a0,', 'a0'], ['remu', 'a1,', 'a1,', 'a0'], ['or', 'a1,', 'a0,', 'a1'], ['or', 'a0,', 'a0,', 'a1'], ['ret']]"
22,7_function_69,"[['sext.w', 'a3,', 'a3'], ['remu', 'a1,', 'a1,', 'a3'], ['sltu', 'a0,', 'a2,', 'a0'], ['xori', 'a0,', 'a0,', '1'], ['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['slt', 'a0,', 'a1,', 'a0'], ['ret']]"
23,3_function_4,[['ret']]
24,3_function_1,"[['zext.w', 'a1,', 'a1'], ['div', 'a1,', 'a0,', 'a1'], ['sltu', 'a0,', 'a0,', 'a1'], ['ret']]"
25,4_function_8,"[['srl', 'a0,', 'a2,', 'a1'], ['and', 'a0,', 'a1,', 'a0'], ['ret']]"
