,function_name,LLVM_globalisel_tot_instructions
0,7_function_34,8
1,6_function_26,5
2,5_function_94,9
3,8_function_65,9
4,6_function_93,4
5,8_function_77,6
6,6_function_95,5
7,3_function_52,3
8,7_function_46,11
9,6_function_44,4
10,7_function_61,2
11,8_function_69,7
12,4_function_24,4
13,8_function_44,11
14,8_function_12,11
15,3_function_81,3
16,6_function_56,6
17,8_function_96,15
18,5_function_0,7
19,8_function_53,8
20,3_function_46,2
21,5_function_23,3
22,7_function_57,6
23,7_function_84,6
24,4_function_3,4
25,4_function_34,4
26,5_function_61,4
27,8_function_97,5
28,3_function_19,3
29,8_function_67,7
30,7_function_23,6
31,4_function_28,5
32,7_function_24,8
33,4_function_74,2
34,7_function_50,7
35,3_function_95,4
36,5_function_64,9
37,3_function_43,4
38,5_function_21,7
39,8_function_37,7
40,4_function_76,4
41,6_function_97,2
42,5_function_12,8
43,7_function_51,7
44,7_function_95,7
45,5_function_38,5
46,5_function_26,7
47,7_function_10,5
48,7_function_65,5
49,8_function_46,9
50,6_function_46,6
51,3_function_67,6
52,8_function_4,14
53,4_function_69,4
54,8_function_90,2
55,5_function_98,6
56,3_function_61,6
57,5_function_50,4
58,6_function_41,7
59,5_function_57,2
60,5_function_69,7
61,6_function_77,6
62,4_function_98,2
63,6_function_24,12
64,6_function_22,4
65,8_function_57,10
66,4_function_43,6
67,4_function_16,4
68,8_function_14,8
69,3_function_94,3
70,4_function_64,8
71,7_function_8,7
72,7_function_19,2
73,7_function_33,4
74,4_function_68,4
75,3_function_51,2
76,6_function_74,6
77,5_function_90,6
78,4_function_93,4
79,4_function_33,4
80,8_function_59,10
81,7_function_69,8
82,3_function_9,4
83,4_function_13,5
84,5_function_34,7
85,6_function_75,5
86,4_function_90,4
87,3_function_55,5
88,6_function_45,4
89,3_function_48,3
90,5_function_37,6
91,5_function_88,2
92,8_function_55,7
93,6_function_78,6
94,8_function_21,8
95,4_function_63,4
96,3_function_56,3
97,5_function_54,5
98,3_function_30,3
99,3_function_53,5
100,7_function_11,6
101,4_function_38,2
102,7_function_75,9
103,4_function_75,4
104,6_function_65,7
105,5_function_1,3
106,4_function_72,5
107,8_function_39,4
108,3_function_38,3
109,6_function_10,5
110,5_function_19,7
111,6_function_4,6
112,5_function_76,7
113,5_function_32,5
114,7_function_47,5
115,4_function_15,1
116,4_function_61,4
117,5_function_22,7
118,7_function_40,6
119,7_function_77,8
120,4_function_84,4
121,3_function_69,4
122,3_function_82,2
123,4_function_73,6
124,5_function_15,4
125,7_function_12,5
126,7_function_88,6
127,8_function_0,11
128,5_function_48,6
129,4_function_0,2
130,5_function_70,5
131,5_function_68,5
132,6_function_15,5
133,6_function_91,8
134,6_function_13,4
135,6_function_63,3
136,3_function_26,2
137,7_function_36,7
138,3_function_25,2
139,7_function_16,7
140,6_function_2,6
141,6_function_52,9
142,8_function_56,10
143,4_function_21,4
144,7_function_9,6
145,7_function_59,5
146,8_function_40,8
147,7_function_83,11
148,6_function_28,6
149,6_function_99,6
150,8_function_1,10
151,7_function_4,8
152,7_function_66,10
153,4_function_70,4
154,8_function_58,12
155,4_function_91,6
156,3_function_1,4
157,5_function_49,5
158,7_function_60,12
159,6_function_89,5
160,8_function_41,14
161,4_function_59,3
162,5_function_86,7
163,7_function_3,4
164,6_function_62,7
165,8_function_99,8
166,5_function_77,7
167,4_function_22,8
168,8_function_38,6
169,4_function_62,5
170,6_function_69,6
171,7_function_14,2
172,4_function_96,3
173,7_function_96,3
174,4_function_51,4
175,6_function_21,6
176,5_function_58,6
177,8_function_84,8
178,7_function_82,3
179,6_function_40,6
180,7_function_89,9
181,3_function_49,3
182,6_function_59,5
183,8_function_86,13
184,6_function_61,8
185,5_function_44,3
186,3_function_65,4
187,7_function_92,6
188,8_function_81,5
189,8_function_64,2
190,8_function_71,8
191,8_function_13,8
192,8_function_68,8
193,4_function_11,4
194,7_function_99,6
195,6_function_1,8
196,7_function_94,5
197,4_function_23,6
198,8_function_22,14
199,4_function_56,3
200,7_function_2,7
201,6_function_23,6
202,7_function_17,5
203,7_function_25,7
204,5_function_78,5
205,5_function_74,2
206,3_function_90,4
207,4_function_67,4
208,5_function_40,7
209,6_function_76,9
210,3_function_0,1
211,5_function_80,4
212,6_function_85,10
213,6_function_49,4
214,5_function_71,4
215,7_function_71,8
216,7_function_32,6
217,4_function_82,8
218,6_function_39,6
219,3_function_59,2
220,3_function_89,5
221,5_function_24,5
222,3_function_62,3
223,8_function_93,8
224,3_function_23,5
225,7_function_67,7
226,6_function_98,7
227,5_function_20,7
228,7_function_81,9
229,3_function_33,7
230,7_function_21,7
231,4_function_29,4
232,7_function_73,11
233,5_function_2,3
234,6_function_92,5
235,8_function_76,9
236,7_function_37,7
237,6_function_16,5
238,4_function_86,6
239,8_function_9,2
240,8_function_28,6
241,3_function_70,3
242,8_function_52,6
243,8_function_60,9
244,8_function_70,10
245,5_function_72,6
246,7_function_18,6
247,8_function_87,9
248,3_function_86,2
249,8_function_42,8
250,3_function_68,3
251,6_function_60,9
252,6_function_31,9
253,6_function_84,7
254,5_function_53,7
255,3_function_36,4
256,6_function_79,6
257,6_function_42,6
258,6_function_9,3
259,8_function_26,9
260,7_function_56,8
261,5_function_46,5
262,3_function_14,3
263,7_function_35,6
264,4_function_52,6
265,3_function_40,3
266,6_function_55,9
267,6_function_37,10
268,6_function_30,9
269,4_function_71,3
270,5_function_52,7
271,5_function_63,6
272,8_function_72,8
273,5_function_99,5
274,7_function_58,7
275,7_function_39,6
276,6_function_68,2
277,8_function_80,9
278,3_function_66,4
279,5_function_18,5
280,8_function_16,8
281,3_function_98,4
282,4_function_99,7
283,3_function_8,4
284,5_function_33,3
285,6_function_87,12
286,8_function_79,9
287,4_function_42,7
288,5_function_4,6
289,5_function_17,5
290,4_function_5,5
291,6_function_64,2
292,6_function_72,1
293,8_function_25,8
294,7_function_91,9
295,5_function_39,2
296,8_function_8,9
297,4_function_78,4
298,3_function_74,3
299,3_function_17,3
300,4_function_44,7
301,3_function_16,2
302,8_function_32,10
303,5_function_66,5
304,8_function_74,6
305,4_function_6,6
306,5_function_84,6
307,8_function_95,8
308,4_function_83,5
309,7_function_15,7
310,6_function_96,8
311,4_function_19,4
312,6_function_17,8
313,3_function_80,1
314,6_function_81,7
315,4_function_14,6
316,6_function_54,3
317,5_function_25,7
318,3_function_50,5
319,8_function_36,8
320,3_function_4,1
321,3_function_41,3
322,5_function_16,7
323,7_function_70,12
324,4_function_57,6
325,8_function_31,7
326,7_function_74,12
327,5_function_55,4
328,6_function_82,7
329,6_function_14,2
330,3_function_24,3
331,6_function_0,6
332,5_function_29,3
333,6_function_71,6
334,4_function_2,4
335,8_function_49,5
336,8_function_75,8
337,6_function_67,8
338,8_function_18,8
339,8_function_91,7
340,3_function_93,4
341,5_function_62,5
342,5_function_60,7
343,3_function_88,3
344,8_function_10,8
345,3_function_3,3
346,8_function_54,13
347,3_function_10,3
348,3_function_77,4
349,5_function_13,2
350,3_function_22,1
351,3_function_37,3
352,4_function_26,8
353,4_function_65,2
354,8_function_19,10
355,3_function_72,1
356,6_function_32,5
357,5_function_5,4
358,4_function_87,5
359,3_function_87,7
360,7_function_72,2
361,7_function_86,6
362,7_function_6,14
363,6_function_90,9
364,7_function_97,8
365,8_function_43,8
366,8_function_66,8
367,7_function_78,11
368,5_function_3,3
369,4_function_27,4
370,3_function_84,3
371,5_function_81,6
372,7_function_80,13
373,8_function_94,9
374,3_function_63,3
375,7_function_43,7
376,7_function_53,7
377,7_function_5,10
378,4_function_9,3
379,4_function_58,5
380,3_function_54,2
381,7_function_30,9
382,3_function_2,7
383,8_function_17,8
384,6_function_47,7
385,4_function_37,4
386,4_function_32,4
387,8_function_89,8
388,3_function_27,2
389,4_function_60,4
390,4_function_8,3
391,5_function_14,6
392,5_function_56,7
393,8_function_27,7
394,3_function_5,3
395,5_function_87,3
396,8_function_85,5
397,3_function_21,1
398,6_function_36,8
399,4_function_48,4
400,4_function_66,6
401,4_function_31,3
402,7_function_26,6
403,5_function_30,7
404,5_function_79,5
405,7_function_87,8
406,8_function_5,11
407,8_function_61,9
408,3_function_42,3
409,6_function_35,6
410,8_function_2,5
411,7_function_38,8
412,6_function_57,10
413,5_function_75,2
414,8_function_63,7
415,8_function_82,6
416,5_function_35,6
417,5_function_36,6
418,7_function_55,6
419,5_function_45,4
420,5_function_89,2
421,4_function_41,4
422,6_function_58,5
423,6_function_51,9
424,8_function_47,8
425,6_function_86,7
426,3_function_73,3
427,5_function_97,3
428,7_function_22,7
429,6_function_88,7
430,6_function_3,5
431,7_function_45,6
432,4_function_45,6
433,6_function_53,6
434,3_function_79,3
435,8_function_45,13
436,5_function_41,5
437,4_function_80,5
438,7_function_7,8
439,8_function_7,9
440,5_function_6,2
441,4_function_39,4
442,5_function_96,2
443,7_function_49,7
444,6_function_73,5
445,3_function_28,2
446,7_function_41,13
447,7_function_79,6
448,6_function_80,6
449,7_function_31,6
450,3_function_76,3
451,6_function_8,6
452,3_function_57,4
453,6_function_66,6
454,4_function_92,4
455,4_function_46,2
456,7_function_0,4
457,8_function_23,8
458,6_function_50,6
459,8_function_35,8
460,4_function_88,6
461,4_function_18,3
462,4_function_35,1
463,8_function_20,7
464,8_function_50,9
465,4_function_30,3
466,6_function_94,7
467,3_function_6,4
468,5_function_7,5
469,7_function_52,9
470,3_function_29,2
471,5_function_93,4
472,7_function_68,5
473,7_function_64,7
474,5_function_73,4
475,3_function_71,6
476,6_function_33,5
477,8_function_3,7
478,4_function_85,6
479,5_function_59,4
480,3_function_20,4
481,6_function_11,7
482,5_function_42,7
483,3_function_99,3
484,4_function_77,4
485,3_function_75,3
486,7_function_63,5
487,8_function_6,9
488,5_function_28,5
489,3_function_91,5
490,4_function_36,5
491,3_function_18,4
492,8_function_29,7
493,6_function_20,5
494,4_function_47,6
495,4_function_79,2
496,3_function_15,1
497,4_function_20,4
498,4_function_17,5
499,8_function_24,8
500,4_function_40,7
501,5_function_51,5
502,3_function_96,3
503,8_function_30,10
504,8_function_98,9
505,3_function_35,3
506,7_function_13,7
507,8_function_78,5
508,8_function_62,7
509,8_function_73,12
510,3_function_47,2
511,4_function_4,2
512,3_function_85,5
513,4_function_55,6
514,7_function_93,7
515,4_function_25,4
516,3_function_92,3
517,5_function_92,5
518,7_function_54,6
519,7_function_85,4
520,5_function_27,7
521,8_function_83,7
522,8_function_34,11
523,5_function_47,1
524,5_function_95,4
525,4_function_12,5
526,6_function_5,5
527,3_function_60,3
528,6_function_7,5
529,7_function_1,7
530,3_function_83,6
531,5_function_11,3
