,function_name,LLVM_selectiondag_similarity
0,7_function_34,"[['rem', 'a0,', 'a0,', 'a1'], ['ret']]"
1,6_function_26,"[['andi', 'a0,', 'a0,', '1'], ['xori', 'a1,', 'a0,', '1'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
2,5_function_94,"[['li', 'a0,', '-1'], ['ret']]"
3,8_function_65,[['ret']]
4,6_function_93,"[['divu', 'a0,', 'a0,', 'a1'], ['srl', 'a0,', 'a0,', 'a2'], ['ret']]"
5,8_function_77,"[['rem', 'a0,', 'a1,', 'a0'], ['sra', 'a0,', 'a1,', 'a0'], ['div', 'a0,', 'a0,', 'a2'], ['or', 'a0,', 'a2,', 'a0'], ['ret']]"
6,6_function_95,"[['zext.w', 'a3,', 'a2'], ['divu', 'a1,', 'a1,', 'a3'], ['div', 'a1,', 'a1,', 'a2'], ['and', 'a0,', 'a0,', 'a1'], ['ret']]"
7,3_function_52,"[['zext.w', 'a0,', 'a0'], ['rem', 'a0,', 'a0,', 'a1'], ['ret']]"
8,7_function_46,"[['and', 'a0,', 'a0,', 'a1'], ['andi', 'a4,', 'a0,', '1'], ['neg', 'a1,', 'a4'], ['mv', 'a3,', 'a2'], ['bnez', 'a4,', '.LBB0_2'], ['mv', 'a3,', 'a0'], ['xor', 'a2,', 'a2,', 'a3'], ['divu', 'a1,', 'a1,', 'a2'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
9,6_function_44,"[['li', 'a0,', '0'], ['ret']]"
10,7_function_61,"[['li', 'a0,', '0'], ['ret']]"
11,8_function_69,"[['andi', 'a3,', 'a1,', '1'], ['mv', 'a1,', 'a0'], ['bnez', 'a3,', '.LBB0_2'], ['mv', 'a1,', 'a2'], ['rem', 'a1,', 'a0,', 'a1'], ['xor', 'a0,', 'a0,', 'a1'], ['ret']]"
12,4_function_24,"[['remu', 'a1,', 'a0,', 'a1'], ['sext.w', 'a1,', 'a1'], ['or', 'a0,', 'a1,', 'a0'], ['ret']]"
13,8_function_44,"[['divu', 'a2,', 'a0,', 'a2'], ['andi', 'a4,', 'a3,', '1'], ['mv', 'a3,', 'a0'], ['bnez', 'a4,', '.LBB0_2'], ['mv', 'a3,', 'a1'], ['divu', 'a3,', 'a2,', 'a3'], ['divu', 'a2,', 'a2,', 'a3'], ['xor', 'a1,', 'a1,', 'a3'], ['xor', 'a1,', 'a1,', 'a2'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
