,function_name,LLVM_selectiondag_tot_uops
0,7_function_34,2
1,6_function_26,4
2,5_function_94,2
3,8_function_65,1
4,6_function_93,3
5,8_function_77,5
6,6_function_95,5
7,3_function_52,3
8,7_function_46,10
9,6_function_44,2
10,7_function_61,2
11,8_function_69,7
12,4_function_24,4
13,8_function_44,11
14,8_function_12,10
15,3_function_81,3
16,6_function_56,6
17,8_function_96,13
18,5_function_0,7
19,8_function_53,8
20,3_function_46,2
21,5_function_23,3
22,7_function_57,6
23,7_function_84,6
24,4_function_3,4
25,4_function_34,4
26,5_function_61,4
27,8_function_97,1
28,3_function_19,2
29,8_function_67,7
30,7_function_23,3
31,4_function_28,5
32,7_function_24,10
33,4_function_74,2
34,7_function_50,7
35,3_function_95,2
36,5_function_64,9
37,3_function_43,2
38,5_function_21,7
39,8_function_37,7
40,4_function_76,4
41,6_function_97,2
42,5_function_12,7
43,7_function_51,7
44,7_function_95,7
45,5_function_38,5
46,5_function_26,7
47,7_function_10,1
48,7_function_65,2
49,8_function_46,9
50,6_function_46,6
51,3_function_67,6
52,8_function_4,14
53,4_function_69,4
54,8_function_90,2
55,5_function_98,6
56,3_function_61,5
57,5_function_50,2
58,6_function_41,7
59,5_function_57,2
60,5_function_69,7
61,6_function_77,6
62,4_function_98,2
63,6_function_24,6
64,6_function_22,4
65,8_function_57,2
66,4_function_43,2
67,4_function_16,2
68,8_function_14,8
69,3_function_94,3
70,4_function_64,8
71,7_function_8,7
72,7_function_19,2
73,7_function_33,4
74,4_function_68,4
75,3_function_51,2
76,6_function_74,6
77,5_function_90,5
78,4_function_93,4
79,4_function_33,4
80,8_function_59,10
81,7_function_69,6
82,3_function_9,4
83,4_function_13,5
84,5_function_34,7
85,6_function_75,2
86,4_function_90,4
87,3_function_55,6
88,6_function_45,4
89,3_function_48,3
90,5_function_37,6
91,5_function_88,2
92,8_function_55,7
93,6_function_78,4
94,8_function_21,8
95,4_function_63,2
96,3_function_56,2
97,5_function_54,5
98,3_function_30,3
99,3_function_53,3
100,7_function_11,6
