,function_name,LEANMLIR_opt_tot_cycles,LLVM_globalisel_tot_cycles,LLVM_selectiondag_tot_cycles,instructions_number
0,7_function_34,14403,13902,6601,7
1,6_function_26,13901,13801,7001,6
2,5_function_94,1104,604,104,5
3,8_function_65,27003,23703,103,8
4,6_function_93,7002,7001,6901,6
5,8_function_77,14002,13901,13801,8
6,6_function_95,13603,13603,13603,6
7,3_function_52,6901,6901,6901,3
8,7_function_46,14301,13901,13901,7
9,6_function_44,13504,10004,104,6
10,7_function_61,7204,104,104,7
11,8_function_69,7603,7103,7103,8
12,4_function_24,7102,7001,7001,4
13,8_function_44,20702,20302,20302,8
14,8_function_12,7903,7303,704,8
15,3_function_81,6703,6703,6703,3
16,6_function_56,7203,7203,7203,6
17,8_function_96,7904,7503,7303,8
18,5_function_0,7204,7204,7204,5
19,8_function_53,13801,13701,13701,8
20,3_function_46,6601,6601,104,3
21,5_function_23,6704,6604,6604,5
22,7_function_57,20201,20201,20201,7
23,7_function_84,13604,13502,13502,7
24,4_function_3,304,304,304,4
25,4_function_34,13201,13201,6703,4
26,5_function_61,904,204,204,5
27,8_function_97,20401,20101,103,8
28,3_function_19,6901,6901,104,3
29,8_function_67,1004,404,404,8
30,7_function_23,504,504,204,7
31,4_function_28,604,404,404,4
32,7_function_24,7904,7304,7504,7
33,4_function_74,204,104,104,4
34,7_function_50,7502,7104,7104,7
35,3_function_95,7102,7001,104,3
36,5_function_64,7404,7204,7204,5
37,3_function_43,7102,7001,104,3
38,5_function_21,7203,7204,7204,5
39,8_function_37,13703,13703,13703,8
40,4_function_76,7003,7003,7003,4
41,6_function_97,7203,104,104,6
42,5_function_12,7603,7201,7101,5
43,7_function_51,13701,13701,13701,7
44,7_function_95,7604,7203,7203,7
45,5_function_38,803,304,304,5
46,5_function_26,7653,7203,7203,5
47,7_function_10,13603,13603,103,7
48,7_function_65,13704,13203,104,7
49,8_function_46,7203,7202,7202,8
50,6_function_46,13801,13801,13801,6
51,3_function_67,7403,7103,7103,3
52,8_function_4,8703,7603,7603,8
53,4_function_69,13801,13501,13501,4
54,8_function_90,7603,104,104,8
55,5_function_98,604,503,503,5
56,3_function_61,604,504,404,3
57,5_function_50,7103,7003,104,5
58,6_function_41,7503,7101,7101,6
59,5_function_57,352,104,104,5
60,5_function_69,903,504,504,5
61,6_function_77,504,403,403,6
62,4_function_98,104,104,104,4
63,6_function_24,1353,704,403,6
64,6_function_22,7201,7001,303,6
65,8_function_57,20404,20403,104,8
66,4_function_43,7401,7003,104,4
67,4_function_16,13201,13201,104,4
68,8_function_14,14404,13903,13903,8
69,3_function_94,204,204,204,3
70,4_function_64,7803,7204,7204,4
71,7_function_8,13601,13402,13402,7
72,7_function_33,703,304,304,7
