,Unnamed: 0,function_name,LEANMLIR_opt_tot_cycles,LLVM_globalisel_tot_cycles,LLVM_selectiondag_tot_cycles,instructions_number,diff,diff_class
0,0,7_function_34,14403,13902,6601,7,1.0360379801467414,1x-1.5x
1,1,6_function_26,13901,13801,7001,6,1.0072458517498732,1x-1.5x
2,2,5_function_94,1104,604,104,5,1.8278145695364238,1.5x-2x
3,3,8_function_65,27003,23703,103,8,1.1392228831793443,1x-1.5x
4,4,6_function_93,7002,7001,6901,6,1.0001428367376088,1x-1.5x
5,5,8_function_77,14002,13901,13801,8,1.007265664340695,1x-1.5x
6,6,6_function_95,13603,13603,13603,6,1.0,1x
7,7,3_function_52,6901,6901,6901,3,1.0,1x
8,8,7_function_46,14301,13901,13901,7,1.0287749082799797,1x-1.5x
9,9,6_function_44,13504,10004,104,6,1.349860055977609,1x-1.5x
10,10,7_function_61,7204,104,104,7,69.26923076923077,>2x
11,11,8_function_69,7603,7103,7103,8,1.070392791778122,1x-1.5x
12,12,4_function_24,7102,7001,7001,4,1.0144265104985002,1x-1.5x
13,13,8_function_44,20702,20302,20302,8,1.0197024923652842,1x-1.5x
14,14,8_function_12,7903,7303,704,8,1.0821580172531837,1x-1.5x
15,15,3_function_81,6703,6703,6703,3,1.0,1x
16,16,6_function_56,7203,7203,7203,6,1.0,1x
17,17,8_function_96,7904,7503,7303,8,1.0534452885512462,1x-1.5x
18,18,5_function_0,7204,7204,7204,5,1.0,1x
19,19,8_function_53,13801,13701,13701,8,1.0072987373184439,1x-1.5x
20,20,3_function_46,6601,6601,104,3,1.0,1x
21,21,5_function_23,6704,6604,6604,5,1.0151423379769837,1x-1.5x
22,22,7_function_57,20201,20201,20201,7,1.0,1x
23,23,7_function_84,13604,13502,13502,7,1.0075544363797957,1x-1.5x
24,24,4_function_3,304,304,304,4,1.0,1x
25,25,4_function_34,13201,13201,6703,4,1.0,1x
26,26,5_function_61,904,204,204,5,4.431372549019608,>2x
27,27,8_function_97,20401,20101,103,8,1.0149246306153923,1x-1.5x
28,28,3_function_19,6901,6901,104,3,1.0,1x
29,29,8_function_67,1004,404,404,8,2.485148514851485,>2x
30,30,7_function_23,504,504,204,7,1.0,1x
31,31,4_function_28,604,404,404,4,1.495049504950495,1x-1.5x
32,32,7_function_24,7904,7304,7504,7,1.082146768893757,1x-1.5x
33,33,4_function_74,204,104,104,4,1.9615384615384615,1.5x-2x
34,34,7_function_50,7502,7104,7104,7,1.0560247747747749,1x-1.5x
35,35,3_function_95,7102,7001,104,3,1.0144265104985002,1x-1.5x
36,36,5_function_64,7404,7204,7204,5,1.0277623542476402,1x-1.5x
37,37,3_function_43,7102,7001,104,3,1.0144265104985002,1x-1.5x
38,38,5_function_21,7203,7204,7204,5,0.9998611882287618,<1x
39,39,8_function_37,13703,13703,13703,8,1.0,1x
40,40,4_function_76,7003,7003,7003,4,1.0,1x
41,41,6_function_97,7203,104,104,6,69.25961538461539,>2x
42,42,5_function_12,7603,7201,7101,5,1.055825579780586,1x-1.5x
43,43,7_function_51,13701,13701,13701,7,1.0,1x
44,44,7_function_95,7604,7203,7203,7,1.0556712480910733,1x-1.5x
45,45,5_function_38,803,304,304,5,2.6414473684210527,>2x
46,46,5_function_26,7653,7203,7203,5,1.0624739691795086,1x-1.5x
47,47,7_function_10,13603,13603,103,7,1.0,1x
48,48,7_function_65,13704,13203,104,7,1.037945921381504,1x-1.5x
49,49,8_function_46,7203,7202,7202,8,1.0001388503193558,1x-1.5x
50,50,6_function_46,13801,13801,13801,6,1.0,1x
51,51,3_function_67,7403,7103,7103,3,1.042235675066873,1x-1.5x
52,52,8_function_4,8703,7603,7603,8,1.1446797316848611,1x-1.5x
53,53,4_function_69,13801,13501,13501,4,1.0222205762536107,1x-1.5x
54,54,8_function_90,7603,104,104,8,73.10576923076923,>2x
55,55,5_function_98,604,503,503,5,1.2007952286282306,1x-1.5x
56,56,3_function_61,604,504,404,3,1.1984126984126984,1x-1.5x
57,57,5_function_50,7103,7003,104,5,1.0142795944595173,1x-1.5x
58,58,6_function_41,7503,7101,7101,6,1.0566117448246726,1x-1.5x
59,59,5_function_57,352,104,104,5,3.3846153846153846,>2x
60,60,5_function_69,903,504,504,5,1.7916666666666667,1.5x-2x
61,61,6_function_77,504,403,403,6,1.250620347394541,1x-1.5x
62,62,4_function_98,104,104,104,4,1.0,1x
63,63,6_function_24,1353,704,403,6,1.921875,1.5x-2x
64,64,6_function_22,7201,7001,303,6,1.0285673475217827,1x-1.5x
65,65,8_function_57,20404,20403,104,8,1.0000490124001373,1x-1.5x
66,66,4_function_43,7401,7003,104,4,1.056832785948879,1x-1.5x
67,67,4_function_16,13201,13201,104,4,1.0,1x
68,68,8_function_14,14404,13903,13903,8,1.0360353880457456,1x-1.5x
69,69,3_function_94,204,204,204,3,1.0,1x
70,70,4_function_64,7803,7204,7204,4,1.0831482509716823,1x-1.5x
71,71,7_function_8,13601,13402,13402,7,1.0148485300701389,1x-1.5x
72,72,7_function_33,703,304,304,7,2.3125,>2x
73,73,4_function_68,13303,13303,13303,4,1.0,1x
74,74,3_function_51,302,104,104,3,2.9038461538461537,>2x
75,75,6_function_74,20102,20101,20101,6,1.0000497487687179,1x-1.5x
76,76,5_function_90,7003,7003,6804,5,1.0,1x
77,77,4_function_93,304,304,304,4,1.0,1x
78,78,4_function_33,13501,13501,13501,4,1.0,1x
79,79,8_function_59,1004,804,804,8,1.2487562189054726,1x-1.5x
80,80,7_function_69,7404,7104,7004,7,1.0422297297297298,1x-1.5x
81,81,3_function_9,13501,13501,13501,3,1.0,1x
82,82,4_function_13,20002,20002,20002,4,1.0,1x
83,83,5_function_34,13801,13601,13601,5,1.0147048011175648,1x-1.5x
84,84,6_function_75,13201,13501,104,6,0.9777794237463892,<1x
85,85,4_function_90,13204,13204,13204,4,1.0,1x
86,86,3_function_55,804,254,504,3,3.1653543307086616,>2x
87,87,6_function_45,13903,13501,13501,6,1.0297755721798385,1x-1.5x
88,88,3_function_48,6901,6901,6901,3,1.0,1x
89,89,5_function_37,7304,7204,7204,5,1.01388117712382,1x-1.5x
90,90,5_function_88,302,104,104,5,2.9038461538461537,>2x
91,91,8_function_55,13701,13701,13701,8,1.0,1x
92,92,6_function_78,13603,13204,304,6,1.0302181157225083,1x-1.5x
93,93,8_function_21,7402,7401,7301,8,1.000135116876098,1x-1.5x
94,94,4_function_63,13501,13501,104,4,1.0,1x
95,95,3_function_56,13201,13201,104,3,1.0,1x
96,96,5_function_54,404,404,404,5,1.0,1x
97,97,3_function_30,204,204,204,3,1.0,1x
98,98,3_function_53,7002,7002,204,3,1.0,1x
99,99,7_function_11,26703,26601,26601,7,1.0038344423141987,1x-1.5x
100,100,4_function_38,104,104,104,4,1.0,1x
101,101,7_function_75,13904,13703,7204,7,1.014668320805663,1x-1.5x
102,102,4_function_75,304,304,304,4,1.0,1x
103,103,6_function_65,20101,19902,7101,6,1.0099989950758719,1x-1.5x
104,104,5_function_1,7003,6901,6901,5,1.0147804665990436,1x-1.5x
105,105,4_function_72,13304,13303,104,4,1.000075171014057,1x-1.5x
106,106,8_function_39,304,304,304,8,1.0,1x
107,107,3_function_38,7001,6901,104,3,1.0144906535284741,1x-1.5x
108,108,6_function_10,7102,7102,104,6,1.0,1x
109,109,5_function_19,13501,13501,13301,5,1.0,1x
110,110,6_function_4,13601,13601,13601,6,1.0,1x
111,111,5_function_76,1104,453,403,5,2.437086092715232,>2x
112,112,5_function_32,7201,7102,7102,5,1.013939735285835,1x-1.5x
113,113,7_function_47,13804,13603,13603,7,1.0147761523193413,1x-1.5x
114,114,4_function_15,404,103,103,4,3.9223300970873787,>2x
115,115,4_function_61,7001,7001,7001,4,1.0,1x
116,116,5_function_22,7301,7202,204,5,1.0137461816162177,1x-1.5x
117,117,7_function_40,13801,13504,13504,7,1.0219934834123223,1x-1.5x
118,118,7_function_77,20302,20302,104,7,1.0,1x
119,119,4_function_84,304,304,104,4,1.0,1x
120,120,3_function_69,304,304,304,3,1.0,1x
121,121,3_function_82,204,104,104,3,1.9615384615384615,1.5x-2x
122,122,4_function_73,7402,7001,304,4,1.057277531781174,1x-1.5x
123,123,5_function_15,13601,13501,104,5,1.0074068587512035,1x-1.5x
124,124,7_function_12,7402,6901,304,7,1.0725981741776554,1x-1.5x
125,125,8_function_0,7704,7403,304,8,1.0406591922193704,1x-1.5x
126,126,5_function_48,7503,7103,7303,5,1.0563142334224975,1x-1.5x
127,127,4_function_0,302,104,103,4,2.9038461538461537,>2x
128,128,5_function_70,13901,13801,13801,5,1.0072458517498732,1x-1.5x
129,129,5_function_68,7104,7104,7104,5,1.0,1x
130,130,6_function_15,13601,13301,13301,6,1.022554695135704,1x-1.5x
131,131,6_function_91,14104,13903,13903,6,1.0144573113716464,1x-1.5x
132,132,6_function_13,13301,13201,104,6,1.0075751836982048,1x-1.5x
133,133,6_function_63,804,204,104,6,3.9411764705882355,>2x
134,134,3_function_26,204,104,104,3,1.9615384615384615,1.5x-2x
135,135,7_function_36,1104,504,504,7,2.1904761904761907,>2x
136,136,3_function_25,6601,6601,6601,3,1.0,1x
137,137,7_function_16,20203,20101,20101,7,1.0050743744092334,1x-1.5x
138,138,6_function_2,13703,13703,103,6,1.0,1x
139,139,6_function_52,20801,26703,6903,6,0.7789761450024342,<1x
140,140,8_function_56,14203,13903,104,8,1.0215780766740992,1x-1.5x
141,141,4_function_21,304,304,304,4,1.0,1x
142,142,7_function_9,14401,13601,13601,7,1.0588192044702596,1x-1.5x
143,143,7_function_59,14303,13502,104,7,1.0593245445119241,1x-1.5x
144,144,8_function_40,20502,20401,104,8,1.0049507377089357,1x-1.5x
145,145,7_function_83,8103,13601,13601,7,0.5957650172781414,<1x
146,146,6_function_28,7203,7203,7203,6,1.0,1x
147,147,6_function_99,604,504,504,6,1.1984126984126984,1x-1.5x
