,Unnamed: 0,function_name,LEANMLIR_opt_tot_cycles,LLVM_globalisel_tot_cycles,LLVM_selectiondag_tot_cycles,instructions_number,diff,diff_class
0,0,3_function_32,104,103,103,3,1.0097087378640777,1x-1.5x
1,1,4_function_18,6704,6604,6604,4,1.0151423379769837,1x-1.5x
2,2,8_function_40,20402,20201,104,8,196.17307692307693,>2x
3,3,3_function_33,804,404,403,3,1.9950372208436724,1.5x-2x
4,4,4_function_20,6904,6803,6803,4,1.0148463912979568,1x-1.5x
5,5,7_function_87,753,703,703,7,1.0711237553342816,1x-1.5x
6,6,7_function_32,7102,7001,7001,7,1.0144265104985002,1x-1.5x
7,7,4_function_24,6902,6801,6801,4,1.0148507572415821,1x-1.5x
8,8,7_function_26,13403,13403,13403,7,1.0,1x
9,9,7_function_12,7202,6703,304,7,23.69078947368421,>2x
10,10,6_function_8,26504,26402,26402,6,1.0038633436860844,1x-1.5x
11,11,4_function_60,6803,6704,6704,4,1.0147673031026252,1x-1.5x
12,12,3_function_15,104,103,103,3,1.0097087378640777,1x-1.5x
13,13,7_function_46,14103,13703,13703,7,1.0291906881704735,1x-1.5x
14,14,3_function_22,204,103,103,3,1.9805825242718447,1.5x-2x
15,15,7_function_11,26503,26403,26403,7,1.0037874483960156,1x-1.5x
16,16,6_function_55,13903,13503,13503,6,1.0296230467303562,1x-1.5x
17,17,8_function_55,13503,13503,13503,8,1.0,1x
18,18,4_function_40,13902,6902,404,4,34.41089108910891,>2x
19,19,6_function_21,13501,13501,104,6,129.81730769230768,>2x
20,20,3_function_13,6654,6702,6702,3,0.9928379588182632,<1x
21,21,7_function_81,13902,13603,103,7,134.97087378640776,>2x
22,22,7_function_69,7204,7104,6904,7,1.0434530706836616,1x-1.5x
23,23,3_function_4,104,103,103,3,1.0097087378640777,1x-1.5x
24,24,3_function_1,6803,6803,6803,3,1.0,1x
25,25,4_function_8,304,204,204,4,1.4901960784313726,1x-1.5x
26,26,6_function_25,13903,13603,13603,6,1.0220539586855841,1x-1.5x
27,27,6_function_97,6903,3304,104,6,66.375,>2x
28,28,5_function_74,13503,13103,104,5,129.83653846153845,>2x
29,29,5_function_28,6653,6702,103,5,64.59223300970874,>2x
30,30,3_function_74,6701,6701,104,3,64.4326923076923,>2x
31,31,5_function_35,13603,13503,103,5,132.06796116504853,>2x
32,32,4_function_6,7154,6604,403,4,17.751861042183624,>2x
33,33,3_function_79,204,204,204,3,1.0,1x
34,34,5_function_40,7104,7104,7104,5,1.0,1x
35,35,8_function_56,21003,20103,104,8,201.95192307692307,>2x
36,36,7_function_45,13501,13501,13501,7,1.0,1x
37,37,8_function_24,39701,39601,39601,8,1.0025251887578597,1x-1.5x
38,38,5_function_3,6703,6703,6703,5,1.0,1x
39,39,7_function_88,7302,6803,204,7,35.794117647058826,>2x
40,40,3_function_28,6601,6601,104,3,63.47115384615385,>2x
41,41,6_function_51,7603,7104,7104,6,1.070242117117117,1x-1.5x
42,42,3_function_82,204,104,104,3,1.9615384615384615,1.5x-2x
43,43,3_function_51,6701,6601,104,3,64.4326923076923,>2x
44,44,6_function_19,7053,6904,6904,6,1.0215816917728853,1x-1.5x
45,45,5_function_54,404,404,404,5,1.0,1x
46,46,5_function_61,904,204,204,5,4.431372549019608,>2x
47,47,6_function_69,13502,13403,204,6,66.18627450980392,>2x
48,48,5_function_68,6904,6904,6904,5,1.0,1x
49,49,4_function_26,7453,7103,7103,4,1.0492749542446853,1x-1.5x
50,50,6_function_42,13601,13401,104,6,130.77884615384616,>2x
51,51,6_function_78,13403,13103,304,6,44.088815789473685,>2x
52,52,3_function_99,6703,6703,6703,3,1.0,1x
53,53,5_function_25,7003,7002,304,5,23.036184210526315,>2x
54,54,5_function_69,903,504,504,5,1.7916666666666667,1.5x-2x
55,55,6_function_18,13903,20003,20003,6,0.6950457431385292,<1x
56,56,7_function_22,7203,7103,7103,7,1.0140785583556244,1x-1.5x
57,57,7_function_97,1303,603,603,7,2.1608623548922057,>2x
58,58,4_function_13,19802,19802,19802,4,1.0,1x
59,59,4_function_36,6803,6802,6802,4,1.0001470155836518,1x-1.5x
60,60,4_function_25,304,304,304,4,1.0,1x
61,61,8_function_89,7054,6904,6904,8,1.0217265353418308,1x-1.5x
62,62,3_function_3,304,204,204,3,1.4901960784313726,1x-1.5x
63,63,5_function_62,13401,13401,13401,5,1.0,1x
64,64,4_function_5,7104,6703,404,4,17.584158415841586,>2x
65,65,6_function_86,7104,7004,7004,6,1.0142775556824672,1x-1.5x
66,66,8_function_35,13402,13501,13501,8,0.9926672098363084,<1x
67,67,3_function_39,703,304,254,3,2.767716535433071,>2x
68,68,8_function_62,13504,13504,6904,8,1.9559675550405562,1.5x-2x
69,69,5_function_75,204,104,104,5,1.9615384615384615,1.5x-2x
70,70,6_function_36,704,704,704,6,1.0,1x
71,71,7_function_2,20003,20003,20003,7,1.0,1x
72,72,5_function_82,7304,6803,6803,5,1.0736439805967954,1x-1.5x
73,73,5_function_83,803,304,254,5,3.161417322834646,>2x
74,74,7_function_19,6604,6502,104,7,63.5,>2x
