,function_name,LEANMLIR_opt_tot_instructions,LLVM_globalisel_tot_instructions,LLVM_selectiondag_tot_instructions,instructions_number
0,7_function_34,11,8,2,7
1,6_function_26,6,5,4,6
2,5_function_94,11,9,2,5
3,8_function_65,10,9,1,8
4,6_function_93,5,4,3,6
5,8_function_77,7,6,5,8
6,6_function_95,5,5,5,6
7,3_function_52,3,3,3,3
8,7_function_46,11,11,10,7
9,6_function_44,5,4,2,6
10,7_function_61,6,2,2,7
11,8_function_69,8,7,7,8
12,4_function_24,5,4,4,4
13,8_function_44,11,11,11,8
14,8_function_12,14,11,10,8
15,3_function_81,3,3,3,3
16,6_function_56,6,6,6,6
17,8_function_96,14,15,13,8
18,5_function_0,7,7,7,5
19,8_function_53,8,8,8,8
20,3_function_46,2,2,2,3
21,5_function_23,4,3,3,5
22,7_function_57,6,6,6,7
23,7_function_84,8,6,6,7
24,4_function_3,4,4,4,4
25,4_function_34,4,4,4,4
26,5_function_61,9,4,4,5
27,8_function_97,6,5,1,8
28,3_function_19,3,3,2,3
29,8_function_67,12,7,7,8
30,7_function_23,6,6,3,7
31,4_function_28,7,5,5,4
32,7_function_24,13,8,10,7
33,4_function_74,3,2,2,4
34,7_function_50,9,7,7,7
35,3_function_95,5,4,2,3
36,5_function_64,10,9,9,5
37,3_function_43,5,4,2,3
38,5_function_21,7,7,7,5
39,8_function_37,7,7,7,8
40,4_function_76,4,4,4,4
41,6_function_97,7,2,2,6
42,5_function_12,10,8,7,5
43,7_function_51,7,7,7,7
44,7_function_95,10,7,7,7
45,5_function_38,9,5,5,5
46,5_function_26,9,7,7,5
47,7_function_10,5,5,1,7
48,7_function_65,7,5,2,7
49,8_function_46,9,9,9,8
50,6_function_46,6,6,6,6
51,3_function_67,7,6,6,3
52,8_function_4,19,14,14,8
53,4_function_69,5,4,4,4
54,8_function_90,10,2,2,8
55,5_function_98,8,6,6,5
56,3_function_61,7,6,5,3
57,5_function_50,5,4,2,5
58,6_function_41,8,7,7,6
59,5_function_57,4,2,2,5
60,5_function_69,8,7,7,5
61,6_function_77,7,6,6,6
62,4_function_98,2,2,2,4
63,6_function_24,13,12,6,6
64,6_function_22,6,4,4,6
65,8_function_57,10,10,2,8
66,4_function_43,7,6,2,4
67,4_function_16,4,4,2,4
68,8_function_14,10,8,8,8
69,3_function_94,3,3,3,3
70,4_function_64,10,8,8,4
71,7_function_8,7,7,7,7
72,7_function_33,8,4,4,7
73,4_function_68,4,4,4,4
74,3_function_51,3,2,2,3
75,6_function_74,6,6,6,6
76,5_function_90,6,6,5,5
77,4_function_93,4,4,4,4
78,4_function_33,4,4,4,4
79,8_function_59,11,10,10,8
80,7_function_69,9,8,6,7
81,3_function_9,4,4,4,3
82,4_function_13,5,5,5,4
83,5_function_34,8,7,7,5
84,6_function_75,4,5,2,6
85,4_function_90,4,4,4,4
86,3_function_55,9,5,6,3
87,6_function_45,6,4,4,6
88,3_function_48,3,3,3,3
