,Unnamed: 0,function_name,LEANMLIR_opt_tot_instructions,LLVM_globalisel_tot_instructions,LLVM_selectiondag_tot_instructions,instructions_number,diff,diff_class
0,0,3_function_32,2,1,1,3,2.0,>2x
1,1,4_function_18,4,3,3,4,1.3333333333333333,1x-1.5x
2,2,8_function_40,10,8,2,8,1.25,1x-1.5x
3,3,3_function_33,8,7,6,3,1.1428571428571428,1x-1.5x
4,4,4_function_20,5,4,4,4,1.25,1x-1.5x
5,5,7_function_87,9,8,8,7,1.125,1x-1.5x
6,6,7_function_32,7,6,6,7,1.1666666666666667,1x-1.5x
7,7,4_function_24,5,4,4,4,1.25,1x-1.5x
8,8,7_function_26,6,6,6,7,1.0,1x
9,9,7_function_12,8,5,4,7,1.6,1.5x-2x
10,10,6_function_8,7,6,6,6,1.1666666666666667,1x-1.5x
11,11,4_function_60,5,4,4,4,1.25,1x-1.5x
12,12,3_function_15,2,1,1,3,2.0,>2x
13,13,7_function_46,11,11,10,7,1.0,1x
14,14,3_function_22,3,1,1,3,3.0,>2x
15,15,7_function_11,7,6,6,7,1.1666666666666667,1x-1.5x
16,16,6_function_55,11,9,9,6,1.2222222222222223,1x-1.5x
17,17,8_function_55,7,7,7,8,1.0,1x
18,18,4_function_40,10,7,6,4,1.4285714285714286,1x-1.5x
19,19,6_function_21,6,6,2,6,1.0,1x
20,20,3_function_13,5,5,5,3,1.0,1x
21,21,7_function_81,9,9,1,7,1.0,1x
22,22,7_function_69,9,8,6,7,1.125,1x-1.5x
23,23,3_function_4,2,1,1,3,2.0,>2x
24,24,3_function_1,4,4,4,3,1.0,1x
25,25,4_function_8,4,3,3,4,1.3333333333333333,1x-1.5x
26,26,6_function_25,9,9,9,6,1.0,1x
27,27,6_function_97,6,4,2,6,1.5,1.5x-2x
28,28,5_function_74,6,4,2,5,1.5,1.5x-2x
29,29,5_function_28,5,5,1,5,1.0,1x
30,30,3_function_74,3,3,2,3,1.0,1x
31,31,5_function_35,7,6,1,5,1.1666666666666667,1x-1.5x
32,32,4_function_6,9,6,6,4,1.5,1.5x-2x
33,33,3_function_79,3,3,3,3,1.0,1x
34,34,5_function_40,7,7,7,5,1.0,1x
35,35,8_function_56,15,11,2,8,1.3636363636363635,1x-1.5x
36,36,7_function_45,6,6,6,7,1.0,1x
37,37,8_function_24,9,8,8,8,1.125,1x-1.5x
38,38,5_function_3,3,3,3,5,1.0,1x
39,39,7_function_88,10,7,3,7,1.4285714285714286,1x-1.5x
40,40,3_function_28,2,2,2,3,1.0,1x
41,41,6_function_51,12,9,9,6,1.3333333333333333,1x-1.5x
42,42,3_function_82,3,2,2,3,1.5,1.5x-2x
43,43,3_function_51,3,3,2,3,1.0,1x
44,44,6_function_19,7,6,6,6,1.1666666666666667,1x-1.5x
45,45,5_function_54,5,5,5,5,1.0,1x
46,46,5_function_61,9,4,4,5,2.25,>2x
47,47,6_function_69,7,6,3,6,1.1666666666666667,1x-1.5x
