,function_name,LEANMLIR_opt_tot_uops,LLVM_globalisel_tot_uops,LLVM_selectiondag_tot_uops,instructions_number
0,3_function_32,2,1,1,3
1,4_function_18,4,3,3,4
2,8_function_40,10,8,2,8
3,3_function_33,8,7,6,3
4,4_function_20,5,4,4,4
5,7_function_87,9,8,8,7
6,7_function_32,7,6,6,7
7,4_function_24,5,4,4,4
8,7_function_26,6,6,6,7
9,7_function_12,8,5,4,7
10,6_function_8,7,6,6,6
11,4_function_60,5,4,4,4
12,3_function_15,2,1,1,3
13,7_function_46,11,11,10,7
14,3_function_22,3,1,1,3
15,7_function_11,7,6,6,7
16,6_function_55,11,9,9,6
17,8_function_55,7,7,7,8
18,4_function_40,10,7,6,4
19,6_function_21,6,6,2,6
20,3_function_13,5,5,5,3
21,7_function_81,9,9,1,7
22,7_function_69,9,8,6,7
23,3_function_4,2,1,1,3
24,3_function_1,4,4,4,3
25,4_function_8,4,3,3,4
26,6_function_25,9,9,9,6
27,6_function_97,6,4,2,6
28,5_function_74,6,4,2,5
29,5_function_28,5,5,1,5
30,3_function_74,3,3,2,3
31,5_function_35,7,6,1,5
32,4_function_6,9,6,6,4
33,3_function_79,3,3,3,3
34,5_function_40,7,7,7,5
35,8_function_56,15,11,2,8
36,7_function_45,6,6,6,7
37,8_function_24,9,8,8,8
38,5_function_3,3,3,3,5
39,7_function_88,10,7,3,7
40,3_function_28,2,2,2,3
41,6_function_51,12,9,9,6
42,3_function_82,3,2,2,3
43,3_function_51,3,3,2,3
44,6_function_19,7,6,6,6
45,5_function_54,5,5,5,5
46,5_function_61,9,4,4,5
47,6_function_69,7,6,3,6
48,5_function_68,5,5,5,5
49,4_function_26,9,8,8,4
50,6_function_42,7,6,2,6
51,6_function_78,6,6,4,6
52,3_function_99,3,3,3,3
53,5_function_25,7,7,4,5
54,5_function_69,8,7,7,5
55,6_function_18,11,10,10,6
56,7_function_22,8,7,7,7
57,7_function_97,14,8,8,7
58,4_function_13,5,5,5,4
59,4_function_36,6,5,5,4
60,4_function_25,4,4,4,4
61,8_function_89,9,8,8,8
62,3_function_3,4,3,3,3
63,5_function_62,5,5,5,5
64,4_function_5,8,5,5,4
65,6_function_86,8,7,7,6
66,8_function_35,10,8,8,8
67,3_function_39,6,6,5,3
68,8_function_62,7,7,5,8
69,5_function_75,3,2,2,5
70,6_function_36,8,8,8,6
71,7_function_2,7,7,7,7
72,5_function_82,9,7,7,5
73,5_function_83,8,6,5,5
74,7_function_19,3,2,2,7
75,8_function_33,13,12,11,8
76,6_function_72,4,1,1,6
77,6_function_89,5,5,5,6
78,5_function_2,4,3,3,5
79,6_function_61,10,8,8,6
80,7_function_63,6,5,5,7
81,4_function_84,4,4,2,4
82,3_function_31,1,1,1,3
83,8_function_64,8,6,2,8
84,8_function_96,14,15,13,8
85,8_function_15,7,7,4,8
86,5_function_23,4,3,3,5
87,5_function_20,8,7,7,5
88,6_function_68,7,4,2,6
89,5_function_45,5,4,2,5
90,5_function_9,9,9,9,5
91,3_function_65,4,4,4,3
92,8_function_21,9,8,8,8
93,6_function_9,5,3,2,6
94,7_function_28,11,9,9,7
95,4_function_89,8,8,2,4
96,3_function_50,6,5,5,3
97,4_function_93,4,4,4,4
98,7_function_18,6,6,5,7
99,8_function_34,11,11,5,8
100,6_function_15,6,5,5,6
101,5_function_81,6,6,5,5
102,6_function_46,6,6,6,6
103,5_function_31,7,6,2,5
104,7_function_14,5,2,2,7
105,6_function_95,5,5,5,6
106,7_function_90,9,9,8,7
107,4_function_74,3,2,2,4
108,8_function_45,15,13,6,8
109,4_function_47,6,6,6,4
110,7_function_62,15,13,6,7
111,6_function_39,7,6,6,6
112,5_function_67,5,5,5,5
113,4_function_28,7,5,5,4
114,5_function_44,3,3,2,5
115,4_function_70,8,4,2,4
116,3_function_0,1,1,1,3
117,5_function_77,7,7,7,5
118,4_function_53,5,5,5,4
119,7_function_34,11,8,2,7
120,6_function_11,8,7,7,6
121,4_function_92,5,4,4,4
122,4_function_43,7,6,2,4
123,7_function_76,5,4,3,7
124,7_function_86,8,6,6,7
125,3_function_43,5,4,2,3
126,4_function_68,4,4,4,4
127,8_function_75,9,8,8,8
128,8_function_7,12,9,7,8
129,6_function_16,7,5,4,6
130,4_function_96,4,3,3,4
131,3_function_24,3,3,3,3
132,8_function_74,7,6,6,8
133,8_function_97,6,5,1,8
134,5_function_49,5,5,5,5
135,8_function_6,9,9,9,8
136,6_function_28,6,6,6,6
137,6_function_84,7,7,7,6
138,6_function_60,11,9,8,6
139,6_function_34,6,6,5,6
140,6_function_30,10,9,9,6
141,5_function_59,6,4,4,5
142,3_function_68,4,3,3,3
143,3_function_91,6,5,5,3
144,3_function_12,1,2,1,3
145,6_function_59,7,5,5,6
146,8_function_58,14,12,11,8
147,8_function_99,12,8,8,8
148,5_function_14,7,6,6,5
149,3_function_14,3,3,3,3
150,3_function_94,3,3,3,3
151,5_function_50,5,4,2,5
152,5_function_88,2,2,2,5
153,3_function_64,3,2,2,3
154,4_function_99,5,7,6,4
155,5_function_30,7,7,4,5
156,7_function_33,8,4,4,7
157,3_function_41,3,3,1,3
158,6_function_49,5,4,4,6
159,6_function_1,8,8,7,6
160,5_function_24,5,5,5,5
161,6_function_31,10,9,9,6
162,3_function_44,4,4,4,3
163,5_function_90,6,6,5,5
164,3_function_49,3,3,3,3
165,8_function_57,10,10,2,8
166,5_function_4,8,6,7,5
167,6_function_3,6,5,5,6
168,5_function_85,7,5,5,5
169,5_function_78,7,5,5,5
170,4_function_90,4,4,4,4
171,4_function_51,5,4,4,4
172,7_function_20,13,9,9,7
173,8_function_1,11,10,10,8
174,7_function_82,5,3,2,7
175,8_function_44,11,11,11,8
176,4_function_35,5,1,1,4
177,3_function_9,4,4,4,3
178,3_function_36,4,4,4,3
179,6_function_57,12,10,10,6
180,4_function_65,2,2,2,4
181,5_function_58,7,6,6,5
182,4_function_12,5,5,5,4
183,3_function_6,5,4,4,3
184,5_function_15,5,4,2,5
185,8_function_47,8,8,5,8
186,7_function_93,7,7,6,7
187,4_function_38,2,2,2,4
188,5_function_26,9,7,7,5
189,5_function_94,11,9,2,5
190,4_function_56,3,3,3,4
191,7_function_75,10,9,7,7
192,3_function_83,7,6,6,3
