,Unnamed: 0,function_name,LEANMLIR_opt_tot_uops,LLVM_globalisel_tot_uops,LLVM_selectiondag_tot_uops,instructions_number,diff,diff_class
0,0,7_function_34,11,8,2,7,5.5,>2x
1,1,6_function_26,6,5,4,6,1.5,1.5x-2x
2,2,5_function_94,11,9,2,5,5.5,>2x
3,3,8_function_65,10,9,1,8,10.0,>2x
4,4,6_function_93,5,4,3,6,1.6666666666666667,1.5x-2x
5,5,8_function_77,7,6,5,8,1.4,1x-1.5x
6,6,6_function_95,5,5,5,6,1.0,1x
7,7,3_function_52,3,3,3,3,1.0,1x
8,8,7_function_46,11,11,10,7,1.1,1x-1.5x
9,9,6_function_44,5,4,2,6,2.5,>2x
10,10,7_function_61,6,2,2,7,3.0,>2x
11,11,8_function_69,8,7,7,8,1.1428571428571428,1x-1.5x
12,12,4_function_24,5,4,4,4,1.25,1x-1.5x
13,13,8_function_44,11,11,11,8,1.0,1x
14,14,8_function_12,14,11,10,8,1.4,1x-1.5x
15,15,3_function_81,3,3,3,3,1.0,1x
16,16,6_function_56,6,6,6,6,1.0,1x
17,17,8_function_96,14,15,13,8,1.0769230769230769,1x-1.5x
18,18,5_function_0,7,7,7,5,1.0,1x
19,19,8_function_53,8,8,8,8,1.0,1x
20,20,3_function_46,2,2,2,3,1.0,1x
21,21,5_function_23,4,3,3,5,1.3333333333333333,1x-1.5x
22,22,7_function_57,6,6,6,7,1.0,1x
23,23,7_function_84,8,6,6,7,1.3333333333333333,1x-1.5x
24,24,4_function_3,4,4,4,4,1.0,1x
25,25,4_function_34,4,4,4,4,1.0,1x
26,26,5_function_61,9,4,4,5,2.25,>2x
27,27,8_function_97,6,5,1,8,6.0,>2x
28,28,3_function_19,3,3,2,3,1.5,1.5x-2x
29,29,8_function_67,12,7,7,8,1.7142857142857142,1.5x-2x
30,30,7_function_23,6,6,3,7,2.0,>2x
31,31,4_function_28,7,5,5,4,1.4,1x-1.5x
32,32,7_function_24,13,8,10,7,1.3,1x-1.5x
33,33,4_function_74,3,2,2,4,1.5,1.5x-2x
34,34,7_function_50,9,7,7,7,1.2857142857142858,1x-1.5x
35,35,3_function_95,5,4,2,3,2.5,>2x
36,36,5_function_64,10,9,9,5,1.1111111111111112,1x-1.5x
37,37,3_function_43,5,4,2,3,2.5,>2x
38,38,5_function_21,7,7,7,5,1.0,1x
39,39,8_function_37,7,7,7,8,1.0,1x
40,40,4_function_76,4,4,4,4,1.0,1x
41,41,6_function_97,7,2,2,6,3.5,>2x
42,42,5_function_12,10,8,7,5,1.4285714285714286,1x-1.5x
43,43,7_function_51,7,7,7,7,1.0,1x
44,44,7_function_95,10,7,7,7,1.4285714285714286,1x-1.5x
45,45,5_function_38,9,5,5,5,1.8,1.5x-2x
46,46,5_function_26,9,7,7,5,1.2857142857142858,1x-1.5x
47,47,7_function_10,5,5,1,7,5.0,>2x
48,48,7_function_65,7,5,2,7,3.5,>2x
49,49,8_function_46,9,9,9,8,1.0,1x
50,50,6_function_46,6,6,6,6,1.0,1x
51,51,3_function_67,7,6,6,3,1.1666666666666667,1x-1.5x
52,52,8_function_4,19,14,14,8,1.3571428571428572,1x-1.5x
53,53,4_function_69,5,4,4,4,1.25,1x-1.5x
54,54,8_function_90,10,2,2,8,5.0,>2x
55,55,5_function_98,8,6,6,5,1.3333333333333333,1x-1.5x
56,56,3_function_61,7,6,5,3,1.4,1x-1.5x
57,57,5_function_50,5,4,2,5,2.5,>2x
58,58,6_function_41,8,7,7,6,1.1428571428571428,1x-1.5x
59,59,5_function_57,4,2,2,5,2.0,>2x
60,60,5_function_69,8,7,7,5,1.1428571428571428,1x-1.5x
61,61,6_function_77,7,6,6,6,1.1666666666666667,1x-1.5x
62,62,4_function_98,2,2,2,4,1.0,1x
63,63,6_function_24,13,12,6,6,2.1666666666666665,>2x
64,64,6_function_22,6,4,4,6,1.5,1.5x-2x
65,65,8_function_57,10,10,2,8,5.0,>2x
66,66,4_function_43,7,6,2,4,3.5,>2x
67,67,4_function_16,4,4,2,4,2.0,>2x
68,68,8_function_14,10,8,8,8,1.25,1x-1.5x
69,69,3_function_94,3,3,3,3,1.0,1x
70,70,4_function_64,10,8,8,4,1.25,1x-1.5x
71,71,7_function_8,7,7,7,7,1.0,1x
72,72,7_function_33,8,4,4,7,2.0,>2x
73,73,4_function_68,4,4,4,4,1.0,1x
74,74,3_function_51,3,2,2,3,1.5,1.5x-2x
75,75,6_function_74,6,6,6,6,1.0,1x
76,76,5_function_90,6,6,5,5,1.2,1x-1.5x
77,77,4_function_93,4,4,4,4,1.0,1x
78,78,4_function_33,4,4,4,4,1.0,1x
79,79,8_function_59,11,10,10,8,1.1,1x-1.5x
80,80,7_function_69,9,8,6,7,1.5,1.5x-2x
81,81,3_function_9,4,4,4,3,1.0,1x
82,82,4_function_13,5,5,5,4,1.0,1x
83,83,5_function_34,8,7,7,5,1.1428571428571428,1x-1.5x
84,84,6_function_75,4,5,2,6,2.0,>2x
85,85,4_function_90,4,4,4,4,1.0,1x
86,86,3_function_55,9,5,6,3,1.5,1.5x-2x
87,87,6_function_45,6,4,4,6,1.5,1.5x-2x
88,88,3_function_48,3,3,3,3,1.0,1x
89,89,5_function_37,7,6,6,5,1.1666666666666667,1x-1.5x
90,90,5_function_88,3,2,2,5,1.5,1.5x-2x
91,91,8_function_55,7,7,7,8,1.0,1x
92,92,6_function_78,6,6,4,6,1.5,1.5x-2x
93,93,8_function_21,9,8,8,8,1.125,1x-1.5x
94,94,4_function_63,4,4,2,4,2.0,>2x
95,95,3_function_56,3,3,2,3,1.5,1.5x-2x
96,96,5_function_54,5,5,5,5,1.0,1x
97,97,3_function_30,3,3,3,3,1.0,1x
