,bitwuzla,leanSAT,leanSAT-rw,leanSAT-bb,leanSAT-sat,leanSAT-lrat-t,leanSAT-lrat-c
0,15.952467,15.276471,15.258507,0.0,0.0,0.0,0.0
1,60.492343,63.414724,6.271115,0.115765,52.149889,0.895244,3.446736
2,15.871266,15.521847,15.511067,0.0,0.0,0.0,0.0
3,15.790556,15.628956,15.618297,0.0,0.0,0.0,0.0
4,15.891964,16.223942,16.215116,0.0,0.0,0.0,0.0
5,63.149682,82.365324,9.839266,0.172991,52.692979,6.581001,12.156783
6,66.057967,72.289959,12.064441,0.119863,53.024535,1.578143,4.860703
7,62.489816,69.845005,8.883359,0.131945,52.907166,1.833258,5.407721
8,68.108238,75.784344,14.436309,0.125162,53.082302,2.278194,5.101078
9,62.462144,75.462816,8.796908,0.131134,53.420952,4.447555,7.834681
10,66.418337,83.439401,14.008454,0.179103,52.77932,5.084529,10.524889
11,62.879781,79.961646,9.065779,0.165768,53.046766,6.490633,10.286546
12,67.527748,93.37221,13.616596,0.175456,52.952561,10.597274,15.143433
13,62.278442,66.555532,8.782281,0.097131,53.020768,0.588413,3.448209
14,61.761472,66.953502,7.943994,0.082744,53.112418,1.187197,4.023629
15,61.118557,64.526261,7.412767,0.083676,52.993136,0.346614,3.096115
16,61.408927,85.208738,7.792863,0.201695,52.799597,8.288474,15.117195
17,60.778004,72.926492,7.128168,0.141653,52.900365,3.840587,8.113268
18,62.339717,72.245346,8.806446,0.149678,52.894042,2.688527,7.018705
19,60.441118,64.291614,6.526178,0.098493,53.153334,0.385396,3.445975
20,60.23631,64.467511,6.079148,0.097251,52.880927,0.880576,3.954038
21,61.153412,67.972956,7.470734,0.112078,53.085749,1.744272,4.866474
