,bitwuzla,leanSAT,leanSAT-rw,leanSAT-bb,leanSAT-sat,leanSAT-lrat-t,leanSAT-lrat-c
0,72.184297,75.961126,18.163207,0.066474,53.24621,0.050233,4.017877
1,77.687424,85.986689,22.062184,1.107038,53.785132,0.652543,6.924369
2,99.353782,102.370478,42.868773,0.129461,53.602051,0.073587,5.188353
3,100.032654,115.599877,50.596336,2.264659,53.906227,0.074258,7.990211
4,74.557418,76.867711,19.436243,0.058188,53.5046,0.045775,3.468797
5,79.566036,84.92168,22.431139,0.94146,52.821971,0.916844,6.503207
6,91.536263,94.341587,38.011375,0.09701,52.784912,0.036839,3.090133
7,95.206875,113.731003,50.109591,2.338576,53.784501,0.057507,6.895397
8,73.453506,78.763544,19.150482,0.071873,53.80025,0.106147,5.116149
9,79.383728,85.599379,22.920208,1.018343,53.415524,0.677369,6.339594
10,94.889896,92.517727,35.782272,0.101779,52.605038,0.039573,3.652039
11,92.903795,99.420867,38.242004,1.987895,52.908572,0.043661,5.801452
12,72.666904,76.493987,19.439218,0.074559,53.359089,0.051296,3.182414
13,81.734877,89.272425,26.86492,0.956809,53.251589,0.740456,6.231391
14,84.625529,98.037276,35.976704,0.096019,53.970196,0.129941,7.260043
15,89.459864,96.310857,34.518053,1.738221,53.277918,0.042318,6.292004
16,75.36604,79.372516,19.55895,0.065702,53.619123,0.28554,5.426446
17,86.468224,104.770951,29.18954,1.373322,53.936893,2.716839,13.539613
18,99.472953,103.565941,43.867008,0.116867,52.821531,0.062105,6.278309
19,105.81494,120.212138,53.602182,3.044148,53.639151,0.07535,8.87807
20,73.786585,75.036047,18.706887,0.062316,52.306443,0.234045,3.380232
21,79.881493,101.07423,28.112708,1.260383,53.022263,2.786529,12.625475
22,92.95478,98.258587,38.559815,0.115715,52.657014,0.067005,6.446353
23,98.542835,116.24763,44.894728,2.228181,53.462552,0.066284,14.886055
24,75.617668,82.732871,21.914669,0.072434,54.649518,0.39272,4.879508
25,81.71455,102.681336,26.293818,1.241818,54.061956,3.720534,13.54783
26,95.808844,96.780049,38.228339,0.138728,53.617229,0.070972,4.20217
27,98.559005,105.090665,41.962189,2.229584,53.272769,0.049963,6.991072
28,74.983219,78.829057,19.844161,0.07013,53.942193,0.284278,4.259898
29,82.395264,103.776302,27.019757,1.484398,53.975385,2.910139,13.916493
30,88.989359,97.307981,35.657731,0.132556,54.100648,0.105185,6.759232
31,95.17712,106.456804,39.281265,2.132504,54.601929,0.087803,9.575657
32,92.957565,103.828089,38.207941,1.834619,54.175898,0.043931,8.853915
33,89.294657,106.943258,41.084237,3.520372,53.65521,0.047478,7.737451
34,82.943233,90.203045,28.348457,1.648844,53.232574,0.041226,6.41385
35,85.856467,102.137527,34.601798,2.800605,53.882082,0.060913,10.037514
36,34.251297,36.032217,36.014264,0.0,0.0,0.0,0.0
37,111.296809,145.956826,55.667179,3.664461,54.3224,0.062667,24.168828
38,32.09549,33.075852,33.061286,0.0,0.0,0.0,0.0
39,86.9877,90.284787,30.284615,0.070621,54.67793,0.071213,4.670179
40,108.757991,140.568171,50.983474,5.953925,54.120364,0.077865,20.945879
41,87.798387,90.273086,31.676262,0.039293,53.384568,0.049803,4.809949
42,76.454023,82.993978,20.297353,0.077574,54.734225,0.402258,6.853578
43,83.795457,104.319802,27.697286,1.283866,54.418699,2.911461,13.782796
44,102.634911,108.589016,47.770023,0.122828,54.211935,0.132466,5.839152
45,104.695591,112.990306,48.622778,2.176134,53.51547,0.052738,7.981343
46,75.014737,77.144887,19.671781,0.064971,53.413411,0.154827,3.510094
47,85.999924,107.827481,28.33402,1.987624,56.554739,3.173348,12.861533
48,96.240016,102.265575,40.910784,0.218046,54.880587,0.113891,5.412439
49,104.190722,113.899597,47.434909,2.353384,54.765564,0.068767,8.491833
50,79.712228,82.138127,20.207697,0.071703,55.354959,0.381318,5.523184
51,84.693325,114.704102,27.782424,1.385835,56.345531,4.98747,18.86989
52,95.285872,105.280648,44.216719,0.163905,54.924739,0.168383,5.202197
53,105.516527,109.098424,44.621431,2.06078,54.716833,0.100517,6.935411
54,75.422425,78.717058,19.430392,0.068528,54.582674,0.272727,3.957916
55,83.790177,104.3129,26.829253,1.245285,54.475715,3.730013,14.056584
56,91.793091,96.381309,35.284548,0.101949,54.866501,0.112269,5.414803
57,103.249333,109.19357,41.523613,2.316976,55.191175,0.058278,9.26537
58,77.150026,83.345742,20.113762,0.059751,55.397038,0.088144,7.157885
59,84.262004,92.322705,24.805302,1.09225,55.320695,1.083323,8.42578
60,95.393873,108.755356,46.847899,0.092552,55.449776,0.123629,5.736452
61,102.33872,109.826677,43.904979,1.776692,54.778097,0.076563,8.6952
62,73.386572,76.080909,18.114727,0.056655,54.278158,0.062476,3.254509
63,81.799006,89.569769,23.117895,0.974621,56.064278,1.088122,6.936983
64,89.175706,93.909093,33.147125,0.08635,54.010311,0.056144,6.265204
65,92.597747,103.172921,38.620939,2.132453,54.308084,0.04286,7.593654
66,77.702944,81.445951,21.244223,0.067296,55.407106,0.047719,4.324899
67,82.020909,89.415252,22.784986,1.003204,55.047277,1.263709,7.792914
68,95.247721,101.638449,40.476948,0.112249,55.387951,0.088815,5.070383
69,98.990888,109.933025,42.977304,1.721549,55.364367,0.100206,9.187565
70,73.672313,77.278445,18.96639,0.055673,54.513475,0.048731,3.385182
71,78.923423,91.202223,24.500034,1.109843,55.189842,0.834771,8.117367
72,90.597048,96.547257,34.759512,0.081532,55.231741,0.060282,6.002956
73,94.016763,104.525215,40.237653,1.771182,55.264041,0.063138,6.546597
74,74.319927,80.891951,17.313929,0.064961,54.903,0.083004,8.172549
75,81.856474,90.874113,23.58865,1.146441,54.898111,0.937623,8.97449
76,93.518768,98.407715,36.913715,0.093824,54.979842,0.05933,6.018315
77,96.918627,106.321302,42.331115,1.810524,54.204361,0.037059,7.504598
78,75.059661,79.420036,18.781907,0.054682,55.499508,0.098483,4.534398
79,79.662025,91.777652,24.348062,1.736497,54.49431,1.003795,7.801169
80,88.317391,91.210328,28.131573,0.082343,55.27471,0.0806,7.18346
81,95.444137,138.141732,50.913995,3.095913,58.996528,0.08593,24.00258
82,92.032416,106.371305,32.675539,0.108902,61.346805,0.089145,11.512076
83,111.591066,155.714933,54.672722,2.158883,70.260001,1.682497,24.036262
84,129.183643,139.933131,56.225427,0.277876,64.365697,0.135071,17.951914
85,144.265974,164.761285,75.270293,2.913014,60.126708,0.084557,25.157146
86,92.692283,127.301875,42.993445,0.093985,68.966086,0.088765,14.539542
87,133.78257,131.171196,40.680316,2.148052,61.706935,1.655196,21.821545
88,126.084553,121.623802,50.563103,0.160028,60.580501,0.095317,9.447939
89,120.349645,149.937735,64.418224,3.47593,60.258934,0.081521,20.630753
90,91.539871,108.667463,34.313102,0.182138,61.625954,0.093564,11.760718
91,41.172651,30.595634,30.573252,0.0,0.0,0.0,0.0
92,91.232449,118.400763,46.515751,0.134359,62.104895,0.094566,8.99061
93,50.749601,30.325732,30.282892,0.0,0.0,0.0,0.0
94,107.225683,136.355983,63.632714,0.269701,61.431443,0.078697,10.252544
95,89.47307,110.43112,38.46555,0.205231,61.614282,0.077805,9.5187
96,46.54723,41.391127,41.368815,0.0,0.0,0.0,0.0
97,132.439765,135.761618,63.453381,0.19902,60.355814,0.05928,11.033347
98,104.401584,113.000316,42.652712,0.156591,59.763483,0.08599,9.665733
99,47.778719,49.016589,48.992314,0.0,0.0,0.0,0.0
100,121.004031,143.640913,66.917549,0.148045,62.790278,0.09726,12.783488
101,82.651832,119.946416,36.972705,0.105295,67.265496,0.073717,14.915051
102,55.404742,38.596303,38.567259,0.0,0.0,0.0,0.0
103,122.261378,125.122045,53.444088,0.192558,61.419911,0.078486,9.249269
104,84.509966,109.422256,40.933226,0.093654,59.977942,0.08615,7.820936
105,45.385862,30.810222,30.785406,0.0,0.0,0.0,0.0
106,109.647464,108.384166,40.755796,0.103983,61.48906,0.080089,5.372204
107,37.595884,37.264247,37.24375,0.0,0.0,0.0,0.0
108,104.550912,125.130179,48.201134,0.175556,63.484189,0.092922,12.506473
109,91.379272,110.205341,34.97333,0.091811,66.417189,0.070812,7.664816
110,60.104306,23.708713,23.683737,0.0,0.0,0.0,0.0
111,100.857438,134.155423,54.714419,0.109724,69.997924,0.083054,8.581138
112,131.560812,141.32031,52.528998,0.153465,62.390646,0.081531,24.263123
113,38.576416,35.914408,35.885865,0.0,0.0,0.0,0.0
114,62.012543,54.612119,54.578156,0.0,0.0,0.0,0.0
115,120.346338,164.407258,70.209737,0.147544,77.247487,0.078797,15.096319
116,58.526765,33.073709,33.047621,0.0,0.0,0.0,0.0
117,112.149685,134.670962,48.497244,0.165407,61.224828,0.076352,23.179971
118,121.836869,174.074485,73.095862,0.117107,75.825014,0.084757,15.162742
119,43.42092,42.102159,42.07562,0.0,0.0,0.0,0.0
