,locations,bitwuzla,leanSAT,leanSAT-rw,leanSAT-bb,leanSAT-sat,leanSAT-lrat-t,leanSAT-lrat-c
0,gaddhmask_proof.lean:7,75.0,75.0,0.0,0.0,59.387,0.0,0.0
1,gfoldhsubhofhnothtohinchofhadd_proof.lean:7,82.0,101.0,12.99775,0.0,60.239459,0.0,14.540166
2,gexact_proof.lean:7,73.0,223.0,0.0,0.0,125.375875,0.0,0.0
3,gexact_proof.lean:9,73.0,225.0,0.0,0.0,123.414167,0.0,0.0
4,gexact_proof.lean:11,71.0,240.0,0.0,0.0,124.728292,0.0,0.0
5,gexact_proof.lean:21,71.0,72.0,0.0,0.0,61.24375,0.0,0.0
6,gexact_proof.lean:32,74.0,80.0,0.0,0.0,62.889292,0.0,0.0
7,gzexthboolhaddhsub_proof.lean:98,75.0,77.0,0.0,0.0,60.942291,0.0,0.0
8,gzexthboolhaddhsub_proof.lean:107,76.0,76.0,0.0,0.0,60.01725,0.0,0.0
9,gzexthboolhaddhsub_proof.lean:116,81.0,82.0,14.670208,0.0,60.930208,0.0,0.0
10,gzexthboolhaddhsub_proof.lean:121,72.0,72.0,0.0,0.0,61.246875,0.0,0.0
11,gapinthshift_proof.lean:7,73.0,331.0,0.0,20.072041,113.169625,59.065042,107.445459
12,gapinthshift_proof.lean:9,72.0,337.0,0.0,21.760208,112.381583,58.371,112.451916
13,gapinthshift_proof.lean:15,72.0,70.0,0.0,0.0,60.832584,0.0,0.0
14,gapinthshift_proof.lean:17,71.0,74.0,0.0,0.0,62.193791,0.0,0.0
15,gapinthshift_proof.lean:19,75.0,101.0,10.278291,0.0,58.204458,0.0,15.316
16,gapinthshift_proof.lean:21,71.0,71.0,0.0,0.0,60.404958,0.0,0.0
17,gapinthshift_proof.lean:23,71.0,93.0,0.0,0.0,60.891583,0.0,10.322542
18,gapinthshift_proof.lean:25,75.0,79.0,0.0,0.0,61.237042,0.0,0.0
19,gapinthshift_proof.lean:27,74.0,72.0,0.0,0.0,59.046833,0.0,0.0
20,gapinthshift_proof.lean:53,74.0,73.0,0.0,0.0,61.50425,0.0,0.0
21,gapinthshift_proof.lean:55,74.0,79.0,10.965917,0.0,61.731292,0.0,0.0
22,gapinthshift_proof.lean:58,72.0,77.0,0.0,0.0,57.297041,0.0,0.0
23,gassochcasthassoc_proof.lean:7,75.0,73.0,0.0,0.0,60.904125,0.0,0.0
24,gassochcasthassoc_proof.lean:9,74.0,72.0,0.0,0.0,61.020875,0.0,0.0
25,gassochcasthassoc_proof.lean:11,74.0,70.0,0.0,0.0,58.056333,0.0,0.0
26,gassochcasthassoc_proof.lean:13,74.0,81.0,11.048708,0.0,66.033,0.0,0.0
27,g2008h02h16hSDivOverflow2_proof.lean:7,72.0,166.0,0.0,0.0,61.077042,27.078167,49.947667
28,gnegatedhbitmask_proof.lean:7,81.0,76.0,12.562375,0.0,58.238208,0.0,0.0
29,gnegatedhbitmask_proof.lean:45,78.0,78.0,10.581291,0.0,61.319083,0.0,0.0
30,gsubhorhandhxor_proof.lean:7,75.0,86.0,12.259042,0.0,61.0895,0.0,0.0
31,gsubhorhandhxor_proof.lean:9,80.0,86.0,11.989667,0.0,61.399875,0.0,0.0
32,gsubhorhandhxor_proof.lean:11,80.0,92.0,12.8605,0.0,66.934709,0.0,0.0
33,gmaskedhmergehxor_proof.lean:8,76.0,76.0,0.0,0.0,61.290209,0.0,0.0
34,gmaskedhmergehxor_proof.lean:11,74.0,73.0,0.0,0.0,60.031167,0.0,0.0
35,gmaskedhmergehxor_proof.lean:14,73.0,74.0,0.0,0.0,62.11125,0.0,0.0
36,gmaskedhmergehxor_proof.lean:17,74.0,96.0,0.0,0.0,60.697333,0.0,15.149625
37,gmaskedhmergehxor_proof.lean:20,74.0,75.0,0.0,0.0,61.142125,0.0,0.0
38,gmaskedhmergehxor_proof.lean:23,70.0,76.0,0.0,0.0,61.320875,0.0,0.0
39,gmaskedhmergehxor_proof.lean:26,73.0,74.0,0.0,0.0,61.878042,0.0,0.0
40,gmaskedhmergehxor_proof.lean:29,71.0,71.0,0.0,0.0,58.400583,0.0,0.0
41,gmaskedhmergehxor_proof.lean:31,72.0,71.0,0.0,0.0,59.999583,0.0,0.0
42,g2008h07h11hRemAnd_proof.lean:7,82.0,173.0,13.748625,41.461541,59.83425,0.0,48.631041
43,gsubhxorhcmp_proof.lean:35,66.0,72.0,0.0,0.0,61.901,0.0,0.0
44,gapinthandhxorhmerge_proof.lean:7,71.0,78.0,0.0,0.0,61.388,0.0,0.0
45,gapinthandhxorhmerge_proof.lean:9,73.0,74.0,0.0,0.0,62.064083,0.0,0.0
46,g2004h02h23hShiftShiftOverflow_proof.lean:7,70.0,69.0,0.0,0.0,61.071458,0.0,0.0
47,g2004h02h23hShiftShiftOverflow_proof.lean:9,72.0,68.0,0.0,0.0,58.798291,0.0,0.0
48,gapinthxor2_proof.lean:9,74.0,81.0,0.0,0.0,60.984458,0.0,0.0
