,bitwuzla,leanSAT,leanSAT-rw,leanSAT-bb,leanSAT-sat,leanSAT-lrat-t,leanSAT-lrat-c
0,8.870691,8.266271,8.252744,0.0,0.0,0.0,0.0
1,80.961112,85.343412,19.912889,0.0,54.936207,1.7858,7.09558
2,10.760708,10.554488,10.542907,0.0,0.0,0.0,0.0
3,7.375549,7.44972,7.438819,0.0,0.0,0.0,0.0
4,9.842365,10.067228,10.056569,0.0,0.0,0.0,0.0
5,79.332929,101.928912,23.233998,0.0,55.93903,9.064497,11.809809
6,77.670341,93.363126,24.180083,0.0,55.809966,2.499537,8.766003
7,74.59638,80.082493,16.169344,0.0,54.117472,2.00314,6.200842
8,84.873965,112.061566,28.952038,0.0,54.107442,14.89475,12.374123
9,80.904425,101.943448,26.320913,0.0,55.689459,8.333276,9.760069
10,91.970469,115.971445,39.566711,0.0,55.210424,9.918439,9.474281
11,90.022573,106.239086,32.920318,0.0,55.586514,8.988835,7.478374
12,89.868822,137.336302,45.785516,0.0,54.981372,19.088455,15.612103
13,81.311143,93.088457,24.049916,0.0,53.626084,4.03215,9.592535
14,81.307576,91.75915,28.976936,0.0,54.209144,2.720154,4.701823
15,79.620101,90.383794,26.409951,0.0,54.066987,3.619812,5.121364
16,87.870932,110.766701,30.178434,0.0,54.087564,14.552894,10.664448
17,78.923958,96.124065,27.802318,0.0,53.870314,6.776589,6.415547
18,83.628224,99.001508,28.21652,0.0,55.646817,3.584835,9.736005
19,75.681808,78.745081,17.943002,0.0,55.587869,0.0,2.683234
20,73.099212,78.65476,15.441361,0.0,55.855773,0.0,4.873217
21,80.18146,93.035929,22.080361,0.0,55.485252,3.935046,9.779847
