,tool,bvw,times
0,bitwuzla,4,81.0
1,bitwuzla,4,66.0
2,bitwuzla,4,0.0
3,bitwuzla,4,75.0
4,bitwuzla,4,0.0
5,bitwuzla,4,70.0
6,bitwuzla,4,74.0
7,bitwuzla,4,75.0
8,bitwuzla,4,78.0
9,bitwuzla,8,72.0
10,bitwuzla,8,73.0
11,bitwuzla,8,0.0
12,bitwuzla,8,73.0
13,bitwuzla,8,0.0
14,bitwuzla,8,70.0
15,bitwuzla,8,71.0
16,bitwuzla,8,75.0
17,bitwuzla,8,77.0
18,bitwuzla,16,73.0
19,bitwuzla,16,69.0
20,bitwuzla,16,0.0
21,bitwuzla,16,74.0
22,bitwuzla,16,0.0
23,bitwuzla,16,70.0
24,bitwuzla,16,81.0
25,bitwuzla,16,73.0
26,bitwuzla,16,75.0
27,bitwuzla,32,81.0
28,bitwuzla,32,71.0
29,bitwuzla,32,0.0
30,bitwuzla,32,72.0
31,bitwuzla,32,0.0
32,bitwuzla,32,70.0
33,bitwuzla,32,70.0
34,bitwuzla,32,75.0
35,bitwuzla,32,75.0
36,bitwuzla,64,72.0
37,bitwuzla,64,71.0
38,bitwuzla,64,0.0
39,bitwuzla,64,76.0
40,bitwuzla,64,0.0
41,bitwuzla,64,71.0
42,bitwuzla,64,71.0
43,bitwuzla,64,77.0
44,bitwuzla,64,76.0
45,leanSAT,4,69.0
46,leanSAT,4,71.0
47,leanSAT,4,7.0
48,leanSAT,4,75.0
49,leanSAT,4,6.0
50,leanSAT,4,67.0
51,leanSAT,4,67.0
52,leanSAT,4,77.0
53,leanSAT,4,89.0
54,leanSAT,8,73.0
55,leanSAT,8,67.0
56,leanSAT,8,8.0
57,leanSAT,8,76.0
58,leanSAT,8,7.0
59,leanSAT,8,71.0
60,leanSAT,8,65.0
61,leanSAT,8,78.0
62,leanSAT,8,80.0
63,leanSAT,16,70.0
64,leanSAT,16,69.0
65,leanSAT,16,6.0
66,leanSAT,16,76.0
67,leanSAT,16,6.0
68,leanSAT,16,81.0
69,leanSAT,16,77.0
70,leanSAT,16,86.0
71,leanSAT,16,83.0
72,leanSAT,32,73.0
73,leanSAT,32,71.0
74,leanSAT,32,7.0
75,leanSAT,32,81.0
76,leanSAT,32,6.0
77,leanSAT,32,73.0
78,leanSAT,32,71.0
79,leanSAT,32,94.0
80,leanSAT,32,97.0
81,leanSAT,64,75.0
82,leanSAT,64,75.0
83,leanSAT,64,7.0
84,leanSAT,64,95.0
85,leanSAT,64,6.0
86,leanSAT,64,75.0
87,leanSAT,64,75.0
88,leanSAT,64,119.0
89,leanSAT,64,203.0
90,leanSAT-rw,4,0.0
91,leanSAT-rw,4,0.0
92,leanSAT-rw,4,0.0
93,leanSAT-rw,4,10.734541
94,leanSAT-rw,4,0.0
95,leanSAT-rw,4,0.0
96,leanSAT-rw,4,0.0
97,leanSAT-rw,4,11.549041
98,leanSAT-rw,4,22.822208
99,leanSAT-rw,8,0.0
100,leanSAT-rw,8,0.0
101,leanSAT-rw,8,0.0
102,leanSAT-rw,8,10.219125
103,leanSAT-rw,8,0.0
104,leanSAT-rw,8,0.0
105,leanSAT-rw,8,0.0
106,leanSAT-rw,8,10.871875
107,leanSAT-rw,8,11.904958
108,leanSAT-rw,16,0.0
109,leanSAT-rw,16,0.0
110,leanSAT-rw,16,0.0
111,leanSAT-rw,16,0.0
112,leanSAT-rw,16,0.0
113,leanSAT-rw,16,0.0
114,leanSAT-rw,16,0.0
115,leanSAT-rw,16,12.565625
116,leanSAT-rw,16,10.982333
117,leanSAT-rw,32,0.0
118,leanSAT-rw,32,0.0
119,leanSAT-rw,32,0.0
120,leanSAT-rw,32,10.312291
121,leanSAT-rw,32,0.0
122,leanSAT-rw,32,0.0
123,leanSAT-rw,32,0.0
124,leanSAT-rw,32,11.010834
125,leanSAT-rw,32,11.151833
126,leanSAT-rw,64,0.0
127,leanSAT-rw,64,0.0
128,leanSAT-rw,64,0.0
129,leanSAT-rw,64,0.0
130,leanSAT-rw,64,0.0
131,leanSAT-rw,64,0.0
132,leanSAT-rw,64,0.0
133,leanSAT-rw,64,11.6385
134,leanSAT-rw,64,10.840041
135,leanSAT-bb,4,0.0
136,leanSAT-bb,4,0.0
137,leanSAT-bb,4,0.0
138,leanSAT-bb,4,0.0
139,leanSAT-bb,4,0.0
140,leanSAT-bb,4,0.0
141,leanSAT-bb,4,0.0
142,leanSAT-bb,4,0.0
143,leanSAT-bb,4,0.0
144,leanSAT-bb,8,0.0
145,leanSAT-bb,8,0.0
146,leanSAT-bb,8,0.0
147,leanSAT-bb,8,0.0
148,leanSAT-bb,8,0.0
149,leanSAT-bb,8,0.0
150,leanSAT-bb,8,0.0
151,leanSAT-bb,8,0.0
152,leanSAT-bb,8,0.0
153,leanSAT-bb,16,0.0
154,leanSAT-bb,16,0.0
155,leanSAT-bb,16,0.0
156,leanSAT-bb,16,0.0
157,leanSAT-bb,16,0.0
158,leanSAT-bb,16,0.0
159,leanSAT-bb,16,0.0
160,leanSAT-bb,16,0.0
161,leanSAT-bb,16,0.0
162,leanSAT-bb,32,0.0
163,leanSAT-bb,32,0.0
164,leanSAT-bb,32,0.0
165,leanSAT-bb,32,0.0
166,leanSAT-bb,32,0.0
167,leanSAT-bb,32,0.0
168,leanSAT-bb,32,0.0
169,leanSAT-bb,32,0.0
170,leanSAT-bb,32,0.0
171,leanSAT-bb,64,0.0
172,leanSAT-bb,64,0.0
173,leanSAT-bb,64,0.0
174,leanSAT-bb,64,0.0
175,leanSAT-bb,64,0.0
176,leanSAT-bb,64,0.0
177,leanSAT-bb,64,0.0
178,leanSAT-bb,64,0.0
179,leanSAT-bb,64,0.0
180,leanSAT-sat,4,55.624292
181,leanSAT-sat,4,59.668
182,leanSAT-sat,4,0.0
183,leanSAT-sat,4,59.531375
184,leanSAT-sat,4,0.0
185,leanSAT-sat,4,57.777583
186,leanSAT-sat,4,58.178458
187,leanSAT-sat,4,59.64775
188,leanSAT-sat,4,59.912042
189,leanSAT-sat,8,60.19775
190,leanSAT-sat,8,55.060459
191,leanSAT-sat,8,0.0
192,leanSAT-sat,8,59.766833
193,leanSAT-sat,8,0.0
194,leanSAT-sat,8,60.049834
195,leanSAT-sat,8,55.7815
196,leanSAT-sat,8,59.398375
197,leanSAT-sat,8,57.390125
198,leanSAT-sat,16,58.902291
199,leanSAT-sat,16,57.364625
200,leanSAT-sat,16,0.0
201,leanSAT-sat,16,60.577583
202,leanSAT-sat,16,0.0
203,leanSAT-sat,16,60.94975
204,leanSAT-sat,16,62.636625
205,leanSAT-sat,16,60.730792
206,leanSAT-sat,16,56.111792
207,leanSAT-sat,32,60.437334
208,leanSAT-sat,32,58.178709
209,leanSAT-sat,32,0.0
210,leanSAT-sat,32,60.540125
211,leanSAT-sat,32,0.0
212,leanSAT-sat,32,60.61
213,leanSAT-sat,32,60.202334
214,leanSAT-sat,32,59.992959
215,leanSAT-sat,32,60.034625
216,leanSAT-sat,64,60.40825
217,leanSAT-sat,64,60.394
218,leanSAT-sat,64,0.0
219,leanSAT-sat,64,57.994291
220,leanSAT-sat,64,0.0
221,leanSAT-sat,64,60.989792
222,leanSAT-sat,64,60.640083
223,leanSAT-sat,64,60.715583
224,leanSAT-sat,64,112.593916
225,leanSAT-lrats,4,0.0
226,leanSAT-lrats,4,0.0
227,leanSAT-lrats,4,0.0
228,leanSAT-lrats,4,0.0
229,leanSAT-lrats,4,0.0
230,leanSAT-lrats,4,0.0
231,leanSAT-lrats,4,0.0
232,leanSAT-lrats,4,0.0
233,leanSAT-lrats,4,0.0
234,leanSAT-lrats,8,0.0
235,leanSAT-lrats,8,0.0
236,leanSAT-lrats,8,0.0
237,leanSAT-lrats,8,0.0
238,leanSAT-lrats,8,0.0
239,leanSAT-lrats,8,0.0
240,leanSAT-lrats,8,0.0
241,leanSAT-lrats,8,0.0
242,leanSAT-lrats,8,0.0
243,leanSAT-lrats,16,0.0
244,leanSAT-lrats,16,0.0
245,leanSAT-lrats,16,0.0
