,tool,bvw,times
0,bitwuzla,4,8.669248
1,bitwuzla,4,80.80288
2,bitwuzla,4,10.0328
3,bitwuzla,4,7.207451
4,bitwuzla,4,9.817344
5,bitwuzla,4,86.606713
6,bitwuzla,4,79.39843
7,bitwuzla,4,76.75267
8,bitwuzla,4,87.891646
9,bitwuzla,4,85.671469
10,bitwuzla,4,92.937041
11,bitwuzla,4,90.74093
12,bitwuzla,4,95.24291
13,bitwuzla,4,87.093261
14,bitwuzla,4,81.500704
15,bitwuzla,4,81.139643
16,bitwuzla,4,91.262752
17,bitwuzla,4,80.979992
18,bitwuzla,4,87.308417
19,bitwuzla,4,76.533808
20,bitwuzla,4,70.347651
21,bitwuzla,4,79.29285
22,bitwuzla,8,8.845982
23,bitwuzla,8,82.103652
24,bitwuzla,8,10.183965
25,bitwuzla,8,7.400616
26,bitwuzla,8,10.029773
27,bitwuzla,8,81.040204
28,bitwuzla,8,79.961071
29,bitwuzla,8,72.624526
30,bitwuzla,8,87.777802
31,bitwuzla,8,84.232977
32,bitwuzla,8,89.798894
33,bitwuzla,8,90.73026
34,bitwuzla,8,93.104567
35,bitwuzla,8,82.626427
36,bitwuzla,8,81.972403
37,bitwuzla,8,81.841416
38,bitwuzla,8,90.29008
39,bitwuzla,8,80.210903
40,bitwuzla,8,87.67704
41,bitwuzla,8,73.270905
42,bitwuzla,8,70.435928
43,bitwuzla,8,79.40912
44,bitwuzla,16,8.746694
45,bitwuzla,16,83.071317
46,bitwuzla,16,9.931448
47,bitwuzla,16,7.307389
48,bitwuzla,16,9.670096
49,bitwuzla,16,78.3327
50,bitwuzla,16,80.191246
51,bitwuzla,16,76.812013
52,bitwuzla,16,86.538215
53,bitwuzla,16,85.228684
54,bitwuzla,16,94.15625
55,bitwuzla,16,91.905976
56,bitwuzla,16,92.703079
57,bitwuzla,16,85.078933
58,bitwuzla,16,82.013131
59,bitwuzla,16,81.234021
60,bitwuzla,16,93.002612
61,bitwuzla,16,81.899397
62,bitwuzla,16,85.298346
63,bitwuzla,16,73.204228
64,bitwuzla,16,70.741675
65,bitwuzla,16,77.618672
66,bitwuzla,32,8.740173
67,bitwuzla,32,81.352964
68,bitwuzla,32,11.189871
69,bitwuzla,32,7.272174
70,bitwuzla,32,9.770264
71,bitwuzla,32,82.337764
72,bitwuzla,32,81.649374
73,bitwuzla,32,77.445597
74,bitwuzla,32,88.178767
75,bitwuzla,32,87.852092
76,bitwuzla,32,147.781215
77,bitwuzla,32,93.481856
78,bitwuzla,32,96.386586
79,bitwuzla,32,84.461247
80,bitwuzla,32,83.950623
81,bitwuzla,32,84.225493
82,bitwuzla,32,92.305389
83,bitwuzla,32,84.407686
84,bitwuzla,32,90.757992
85,bitwuzla,32,77.301043
86,bitwuzla,32,75.589175
87,bitwuzla,32,82.016526
88,bitwuzla,64,8.795127
89,bitwuzla,64,82.572725
90,bitwuzla,64,11.118407
91,bitwuzla,64,7.810099
92,bitwuzla,64,10.586564
93,bitwuzla,64,84.052145
94,bitwuzla,64,82.516189
95,bitwuzla,64,78.482653
96,bitwuzla,64,89.020234
97,bitwuzla,64,88.636872
98,bitwuzla,64,198.290316
99,bitwuzla,64,94.962511
100,bitwuzla,64,248.776753
101,bitwuzla,64,88.976943
102,bitwuzla,64,84.960338
103,bitwuzla,64,85.270323
104,bitwuzla,64,95.33321
105,bitwuzla,64,84.201558
106,bitwuzla,64,91.469673
107,bitwuzla,64,73.800333
108,bitwuzla,64,71.028815
109,bitwuzla,64,81.577719
110,leanSAT,4,7.549957
111,leanSAT,4,84.762224
112,leanSAT,4,10.294724
113,leanSAT,4,7.391449
114,leanSAT,4,9.989969
115,leanSAT,4,99.714167
116,leanSAT,4,86.491305
117,leanSAT,4,79.585553
118,leanSAT,4,96.902509
119,leanSAT,4,97.848162
120,leanSAT,4,114.749204
121,leanSAT,4,105.431041
122,leanSAT,4,108.191858
123,leanSAT,4,91.819835
124,leanSAT,4,91.28237
125,leanSAT,4,94.11388
126,leanSAT,4,118.019541
127,leanSAT,4,88.231096
128,leanSAT,4,96.348755
129,leanSAT,4,86.657359
130,leanSAT,4,79.342744
131,leanSAT,4,92.940137
132,leanSAT,8,8.246491
133,leanSAT,8,87.868832
134,leanSAT,8,10.095397
135,leanSAT,8,7.479074
136,leanSAT,8,10.753089
137,leanSAT,8,102.861046
138,leanSAT,8,91.306365
139,leanSAT,8,81.108103
140,leanSAT,8,111.006817
141,leanSAT,8,112.773997
142,leanSAT,8,108.535135
143,leanSAT,8,119.073509
144,leanSAT,8,134.064639
145,leanSAT,8,98.416944
146,leanSAT,8,90.906773
147,leanSAT,8,96.417283
148,leanSAT,8,126.283164
149,leanSAT,8,99.712587
150,leanSAT,8,110.236925
151,leanSAT,8,88.047661
152,leanSAT,8,80.759577
153,leanSAT,8,101.648478
154,leanSAT,16,8.280565
155,leanSAT,16,82.832024
156,leanSAT,16,10.014476
157,leanSAT,16,7.511295
158,leanSAT,16,9.74686
159,leanSAT,16,118.351588
160,leanSAT,16,90.227531
161,leanSAT,16,85.378947
162,leanSAT,16,117.417185
163,leanSAT,16,112.406816
164,leanSAT,16,151.984352
165,leanSAT,16,125.181826
166,leanSAT,16,158.174525
167,leanSAT,16,101.442781
168,leanSAT,16,98.140392
169,leanSAT,16,95.697787
170,leanSAT,16,152.085873
171,leanSAT,16,103.036907
172,leanSAT,16,98.448485
173,leanSAT,16,88.08459
174,leanSAT,16,82.637136
175,leanSAT,16,98.216257
176,leanSAT,32,8.304881
177,leanSAT,32,95.202073
178,leanSAT,32,10.29318
179,leanSAT,32,7.362414
180,leanSAT,32,9.974661
181,leanSAT,32,141.427643
182,leanSAT,32,147.310447
183,leanSAT,32,114.693218
184,leanSAT,32,222.952261
185,leanSAT,32,146.900255
186,leanSAT,32,296.444675
187,leanSAT,32,199.1946
188,leanSAT,32,284.469492
189,leanSAT,32,111.339985
190,leanSAT,32,107.341425
191,leanSAT,32,111.907826
192,leanSAT,32,375.657344
193,leanSAT,32,116.8109
194,leanSAT,32,125.028428
195,leanSAT,32,86.641629
196,leanSAT,32,92.368358
197,leanSAT,32,104.460541
198,leanSAT,64,8.209252
199,leanSAT,64,115.613244
200,leanSAT,64,10.993933
201,leanSAT,64,8.057886
202,leanSAT,64,10.714956
203,leanSAT,64,459.012615
204,leanSAT,64,372.718663
205,leanSAT,64,119.512707
206,leanSAT,64,593.008967
207,leanSAT,64,403.572565
208,leanSAT,64,831.795277
209,leanSAT,64,318.753165
210,leanSAT,64,1038.98836
211,leanSAT,64,145.133642
212,leanSAT,64,130.795946
213,leanSAT,64,133.198646
214,leanSAT,64,789.560912
215,leanSAT,64,269.421243
216,leanSAT,64,162.890288
217,leanSAT,64,94.388849
218,leanSAT,64,108.777773
219,leanSAT,64,125.349152
220,leanSAT-rw,4,7.535049
