,bitwuzla,leanSAT,leanSAT-rw,leanSAT-bb,leanSAT-sat,leanSAT-lrat-t,leanSAT-lrat-c
0,8.669248,7.549957,7.535049,0.0,0.0,0.0,0.0
1,80.80288,84.762224,19.232478,0.0,57.449729,0.0,5.877383
2,10.0328,10.294724,10.283794,0.0,0.0,0.0,0.0
3,7.207451,7.391449,7.380818,0.0,0.0,0.0,0.0
4,9.817344,9.989969,9.979069,0.0,0.0,0.0,0.0
5,86.606713,99.714167,29.272071,0.0,57.452336,3.067094,8.207187
6,79.39843,86.491305,19.932077,0.0,57.597066,1.207517,6.114451
7,76.75267,79.585553,16.248923,0.0,57.085501,1.035102,3.059911
8,87.891646,96.902509,28.419042,0.0,57.277334,1.920893,7.512889
9,85.671469,97.848162,27.03391,0.0,57.436465,3.21339,8.466927
10,92.937041,114.749204,42.511068,0.0,57.523837,5.47199,7.868129
11,90.74093,105.431041,34.259777,0.0,57.476647,3.167153,8.862623
12,95.24291,108.191858,37.392645,0.0,57.289176,4.63426,7.202062
13,87.093261,91.819835,28.964401,0.0,57.541602,1.086769,2.364058
14,81.500704,91.28237,26.24344,0.0,57.427587,1.019874,5.032691
15,81.139643,94.11388,30.162661,0.0,57.605443,1.249307,4.123957
16,91.262752,118.019541,40.179021,0.0,62.008976,4.906964,9.31151
17,80.979992,88.231096,21.549248,0.0,57.227158,1.475703,6.450625
18,87.308417,96.348755,28.313083,0.0,57.224776,1.813292,7.295058
19,76.533808,86.657359,22.714836,0.0,57.632985,0.0,4.272978
20,70.347651,79.342744,16.062831,0.0,57.431605,0.0,3.9557
21,79.29285,92.940137,28.093969,0.0,57.719458,1.354674,3.646587
22,8.845982,8.246491,8.233036,0.0,0.0,0.0,0.0
23,82.103652,87.868832,20.145138,0.0,57.181732,1.665,7.156657
24,10.183965,10.095397,10.084237,0.0,0.0,0.0,0.0
25,7.400616,7.479074,7.468084,0.0,0.0,0.0,0.0
26,10.029773,10.753089,10.741807,0.0,0.0,0.0,0.0
27,81.040204,102.861046,32.271538,0.0,56.80915,5.904325,6.693423
28,79.961071,91.306365,20.814792,0.0,57.39267,2.380039,8.567377
29,72.624526,81.108103,17.067205,0.0,57.097174,1.930942,3.988421
30,87.777802,111.006817,26.866004,0.0,57.528437,14.86397,10.239439
31,84.232977,112.773997,31.686926,0.0,57.283603,8.30963,13.58001
32,89.798894,108.535135,34.279594,0.0,57.263659,7.132862,8.131574
33,90.73026,119.073509,39.532259,0.0,57.173979,10.345018,10.084457
34,93.104567,134.064639,33.786475,0.0,57.182784,25.266257,15.910163
35,82.626427,98.416944,24.478452,0.0,57.512217,4.94846,9.72613
36,81.972403,90.906773,26.455511,0.0,57.843442,2.40731,3.144499
37,81.841416,96.417283,24.602554,0.0,57.730579,3.604847,8.778647
38,90.29008,126.283164,33.197725,0.0,57.279277,16.479056,17.367801
39,80.210903,99.712587,22.149549,0.0,57.179049,6.853674,11.679263
