,bitwuzla,leanSAT,leanSAT-rw,leanSAT-sat
0,82.85842,82.703879,25.84962,55.469349
1,569.808596,557.480028,84.65745,461.571818
2,90.26373,88.048339,31.67954,55.274529
3,92.37182,88.74848,31.18129,57.10062
4,104.899609,95.41086,35.65518,57.70396
5,111.116849,112.16116,53.33065,55.04635
6,93.132409,91.30107,35.94308,54.79501
7,114.23359,112.468449,57.256429,54.58642
8,70.044589,70.75987,14.47265,54.93715
9,67.990409,68.61159,13.47415,54.7943
10,73.6052,72.24944,16.33154,55.50129
11,72.20375,71.50957,16.55178,54.54272
12,78.300179,128.67325,22.32337,104.87866
13,78.412869,77.57402,21.72612,55.36455
14,82.31432,81.875539,26.373669,55.06305
15,89.61809,91.36492,35.88482,54.94526
16,98.975149,99.373369,43.09699,55.699699
17,92.87439,91.546239,36.178369,54.818329
18,93.55224,93.725459,37.96866,55.139799
19,114.81148,112.826799,57.23231,54.861739
20,108.50356,100.296129,37.928919,57.0495
21,105.767759,109.60759,51.64946,57.153
22,82.52083,108.31002,40.79079,59.176569
23,89.49547,92.886449,31.395509,59.919
24,83.27422,84.19243,25.90618,56.34252
25,146.87619,94.91676,33.28094,56.27559
26,84.67062,85.448139,26.37186,56.094789
27,186.564529,526.812988,67.36028,217.993589
28,127.639319,135.59034,68.20414,59.04702
29,133.62952,154.735209,76.12319,59.27984
30,87.79223,181.065389,27.90455,110.41277
31,88.26929,116.102939,29.09391,59.420569
32,145.190749,149.535129,86.1201,59.790359
33,145.17509,148.583629,85.886659,59.03374
34,105.096669,108.15955,45.25076,59.42753
35,104.228669,109.99054,45.30435,61.19741
36,104.316219,109.219459,45.51422,60.990369
37,105.1999,110.671799,46.58845,61.308979
38,104.23472,108.833879,45.44444,60.640369
39,95.39917,102.879929,36.38988,58.764349
40,153.87266,155.570069,94.075269,58.97486
41,205.212119,281.860688,126.668199,110.511679
42,114.54033,120.864279,52.667029,61.03188
43,201.191079,528.207777,81.417329,218.691179
44,102.63727,143.180129,43.02806,62.43365
45,151.622459,178.194169,91.960219,60.12811
46,159.155579,197.820379,100.15683,61.813699
47,154.62536,181.86433,94.19824,61.58043
48,159.81849,205.184649,102.204879,61.16908
49,144.380159,177.050139,84.40463,60.73798
50,104.923269,151.628479,44.3865,62.117239
51,112.66183,145.244779,51.784879,61.76907
52,121.172529,168.46139,60.55527,61.78357
53,112.30643,158.500869,51.9844,61.10049
54,153.65632,1281.142384,39.480309,703.637137
55,153.25856,1305.799885,46.23933,893.580467
56,80.794249,253.362769,41.58973,159.470249
57,83.37591,294.008879,35.03369,210.797909
58,92.48396,75.295119,18.2871,54.748819
59,81.63717,132.011129,23.32749,106.973669
60,91.7675,199.977419,33.429899,108.95489
61,111.29772,112.30082,49.79731,59.0303
62,84.33683,81.427619,23.69171,55.463059
63,87.17048,82.514419,22.893059,58.95049
64,107.43508,94.75733,37.60835,55.79281
65,95.706669,95.80518,38.19886,55.78653
66,133.06026,153.00309,74.6172,65.00372
67,117.901449,125.42515,62.1487,56.4867
68,960.869216,3069.806458,254.211699,1255.515514
69,164.261209,591.751327,53.2101,367.162978
70,125.621829,707.768857,58.3473,417.626058
71,126.41412,530.692248,18.69428,410.740238
72,93.58761,90.875239,22.59085,61.189079
73,92.839899,396.625008,23.82286,169.657159
74,90.57078,404.992288,22.008349,170.726519
75,114.44844,749.791106,40.59236,329.838098
76,112.699429,848.742937,40.28592,380.635289
77,114.78326,974.015866,41.71301,480.381368
78,113.264239,897.215316,40.44455,379.588458
79,113.52057,959.415986,40.99594,440.010908
80,163.793669,846.905516,41.48891,329.910988
81,77.700279,281.513639,15.64902,262.938069
82,104.85414,206.451339,44.38193,161.470399
83,118.81402,378.720688,55.582819,313.141959
84,82.89825,237.466208,21.025489,211.958039
85,101.635789,357.135289,34.67524,312.979609
86,81.28814,81.42439,24.36212,54.86704
87,85.57843,86.530929,29.82871,55.41831
88,83.53302,85.646329,28.2285,54.781809
89,80.11836,91.486589,25.102,55.837279
90,82.25018,93.88187,25.28243,55.9514
91,81.021599,94.01241,25.12638,56.04864
92,80.663529,94.17318,24.56287,56.18435
93,81.483549,94.86035,25.93794,56.12553
94,117.078259,262.583848,65.253509,161.181859
95,123.93559,192.693919,61.31874,109.535029
96,95.184209,95.92561,37.77354,57.51254
97,151.948609,120.2832,55.9999,55.78286
98,164.183029,134.181809,59.99207,60.98416
99,129.70017,132.722029,60.879229,59.18838
100,131.78396,136.7531,66.86982,59.17804
101,116.47718,142.96217,73.02499,59.00195
102,110.86195,108.297229,44.83947,55.465789
103,111.660979,107.987269,42.70999,55.777689
104,76.60176,127.911619,16.7756,107.463729
105,103.74738,104.902659,38.793509,55.42826
106,126.59871,126.130189,56.1754,57.889279
107,129.228239,127.650889,49.68955,58.216739
108,114.395819,391.556379,42.8371,338.461249
109,115.65512,162.761219,43.757279,108.15514
110,97.591059,109.39263,50.33486,58.34432
111,91.714979,213.60478,41.11926,168.49962
112,97.22733,109.755889,53.82742,55.367779
113,85.915509,84.60023,27.60334,55.8316
114,164.706759,123.51599,67.24025,55.84299
115,978.707207,92.1425,32.43414,56.77218
116,110.938299,121.53935,51.54598,55.65733
117,107.086529,137.10843,64.96637,55.98496
118,123.81593,129.238669,58.37746,56.686919
119,116.94031,189.892829,57.868499,107.23456
120,111.307349,165.103289,43.24279,109.130039
121,97.39309,105.126139,33.32884,56.99233
122,117.617179,139.21921,66.50273,56.55606
123,97.31799,153.209869,32.57095,108.535159
124,119.763869,125.39155,51.02907,57.69949
