,bitwuzla,leanSAT,leanSAT-rw,leanSAT-bb,leanSAT-sat,leanSAT-lrat-t,leanSAT-lrat-c
0,143.7825,771.494998,21.586809,0.0,734.788029,0.0,10.39019
1,205.332269,585.788739,65.76722,5.635179,367.88074,51.941349,55.206221
2,88.89073,93.25518,30.24326,0.0,56.336959,0.0,3.922531
3,92.04566,269.365768,53.776829,5.36568,107.1801,30.300679,54.10403
4,164.306099,126.26503,40.18231,2.60736,56.78036,0.0,22.70768
5,406.720259,132.71285,39.1866,0.0,60.321289,16.301131,12.269801
6,112.125459,112.16737,48.67432,0.0,58.28858,0.0,3.51042
7,96.03948,142.695889,47.90312,1.75023,54.96283,7.18786,19.94338
8,24.20168,26.15556,26.12422,0.0,0.0,0.0,0.0
9,26.32832,33.15162,33.12941,0.0,0.0,0.0,0.0
10,43.33836,46.49297,46.4683,0.0,0.0,0.0,0.0
11,30.43218,19.40688,19.38558,0.0,0.0,0.0,0.0
12,36.36496,24.1201,24.0982,0.0,0.0,0.0,0.0
13,29.90445,44.66701,44.62101,0.0,0.0,0.0,0.0
14,45.37163,46.13435,46.10521,0.0,0.0,0.0,0.0
15,130.15302,124.945759,61.646339,0.0,55.29805,0.0,5.78642
16,42.71914,38.32908,38.31143,0.0,0.0,0.0,0.0
17,13.14161,13.04805,13.02321,0.0,0.0,0.0,0.0
18,27.47382,28.743089,28.720309,0.0,0.0,0.0,0.0
19,29.58596,36.17342,36.15027,0.0,0.0,0.0,0.0
20,11.519889,12.99545,12.97625,0.0,0.0,0.0,0.0
21,16.17137,21.52789,21.50434,0.0,0.0,0.0,0.0
22,33.50572,27.52336,27.49276,0.0,0.0,0.0,0.0
23,9.97787,11.66132,11.63668,0.0,0.0,0.0,0.0
24,85.2719,97.953959,31.50566,0.0,57.46752,2.608019,4.51805
25,32.8622,21.72141,21.69983,0.0,0.0,0.0,0.0
26,3.31892,3.46408,3.44841,0.0,0.0,0.0,0.0
27,3.15006,3.3562,3.34166,0.0,0.0,0.0,0.0
28,72.680139,86.090681,17.889881,0.0,59.4487,1.1578,4.21851
29,4.54056,4.43639,4.42247,0.0,0.0,0.0,0.0
30,4.00204,4.12452,4.11179,0.0,0.0,0.0,0.0
